STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
STATIONS UP TRAINS,GMN 90418 12 CAR,GMN 90418 12 CAR,BVI 90420 12 CAR,BVI 90420 12 CAR,VR 90422 12 CAR,VR 90422 12 CAR,BVI 90424 12 CAR,BVI 90424 12 CAR,VR 92086 15 CAR,VR 92086 15 CAR,VR 92086 15 CAR,BVI 90426 12 CAR,BVI 90426 12 CAR,BVI 90426 12 CAR,BYR 94032 12 CAR,BYR 94032 12 CAR,BYR 94032 12 CAR,BVI 90430 12 CAR,BVI 90430 12 CAR,BVI 90430 12 CAR,VR 92088 15 CAR,VR 92088 15 CAR,VR 92088 15 CAR,BVI 90432 12 CAR,BVI 90432 12 CAR,BVI 90432 12 CAR,VR 92090 15 CAR,VR 92090 15 CAR,VR 92090 15 CAR,BVI 90436 12 CAR,BVI 90436 12 CAR,BVI 90436 12 CAR,VR 92092 15 CAR,VR 92092 15 CAR,VR 92092 15 CAR,VR 92092 15 CAR,BVI 90438 12 CAR,BVI 90438 12 CAR,BVI 90438 12 CAR,
VIRAR,,,,,11:22,11:22,,,11:29,11:29,11:29,NOT ON,NOT ON,NOT ON,,,,,,,11:39,11:39,11:39,,,,11:43,11:43,11:43,NOT ON,NOT ON,NOT ON,11:47,11:47,11:47,11:47,,,,
Nalla Sopara,,,,,11:28,11:28,,,11:35,11:35,11:35,SUN,SUN,SUN,,,,,,,11:45,11:45,11:45,,,,11:49,11:49,11:49,SUN,SUN,SUN,11:54,11:54,11:54,11:54,,,,
VASAI ROAD,,,,,11:33,11:33,,,11:40,11:40,11:40,ONLY,ONLY,ONLY,,,,,,,11:50,11:50,11:50,,,,11:54,11:54,11:54,ONLY,ONLY,ONLY,11:59,11:59,11:59,11:59,,,,
Naigaon,,,,,11:38,11:38,,,11:44,11:44,11:44,,,,,,,,,,11:54,11:54,11:54,,,,11:58,11:58,11:58,,,,12:03,12:03,12:03,12:03,,,,
BHAYANDAR,,,,,11:44,11:44,,,11:50,11:50,11:50,,,,11:54,11:54,11:54,,,,12:00,12:00,12:00,,,,12:03,12:03,12:03,,,,12:09,12:09,12:09,12:09,,,,
Mira Road,,,,,11:49,11:49,,,11:55,11:55,11:55,,,,12:00,12:00,12:00,,,,12:05,12:05,12:05,,,,12:08,12:08,12:08,,,,12:14,12:14,12:14,12:14,,,,
Dahisar,,,,,11:53,11:53,,,11:59,11:59,11:59,,,,12:04,12:04,12:04,,,,12:09,12:09,12:09,,,,12:12,12:12,12:12,,,,12:18,12:18,12:18,12:18,,,,
BORIVALI,,,11:52,11:52,11:58,11:58,11:59,11:59,12:03,12:03,12:03,12:07,12:07,12:07,12:09,12:09,12:09,12:11,12:11,12:11,12:15,12:15,12:15,12:14,12:14,12:14,12:18,12:18,12:18,12:19,12:19,12:19,12:24,12:24,12:24,12:24,12:20,12:20,12:20,
Kandivali,,,11:59,11:59,,,12:05,12:05,12:09,12:09,12:09,12:13,12:13,12:13,,,,12:16,12:16,12:16,,,,12:19,12:19,12:19,,,,12:24,12:24,12:24,12:29,12:29,12:29,12:29,,,,
Malad,,,12:02,12:02,,,12:08,12:08,12:12,12:12,12:12,12:16,12:16,12:16,,,,12:19,12:19,12:19,,,,12:22,12:22,12:22,,,,12:27,12:27,12:27,12:32,12:32,12:32,12:32,,,,
Goregaon,12:02,12:02,12:05,12:05,,,12:11,12:11,12:15,12:15,12:15,12:19,12:19,12:19,,,,12:22,12:22,12:22,,,,12:25,12:25,12:25,,,,12:30,12:30,12:30,12:35,12:35,12:35,12:35,,,,
Ram Mandir,12:05,12:05,12:07,12:07,,,12:13,12:13,12:17,12:17,12:17,12:21,12:21,12:21,,,,12:24,12:24,12:24,,,,12:27,12:27,12:27,,,,12:32,12:32,12:32,12:37,12:37,12:37,12:37,,,,
Jogeshwari,12:08,12:08,12:10,12:10,,,12:16,12:16,12:20,12:20,12:20,12:24,12:24,12:24,,,,12:27,12:27,12:27,,,,12:30,12:30,12:30,,,,12:35,12:35,12:35,12:40,12:40,12:40,12:40,,,,
ANDHERI,12:12,12:12,12:15,12:15,12:12,12:12,12:21,12:21,12:26,12:26,12:26,12:29,12:29,12:29,12:23,12:23,12:23,12:32,12:32,12:32,,,,12:35,12:35,12:35,12:30,12:30,12:30,12:39,12:39,12:39,12:46,12:46,12:46,12:46,12:35,12:35,12:35,
Vile Parle,12:16,12:16,12:19,12:19,,,12:24,12:24,,,,12:32,12:32,12:32,Air,Air,Air,12:35,12:35,12:35,,,,12:38,12:38,12:38,,,,12:42,12:42,12:42,,,,,,,,
Santa Cruz,12:19,12:19,12:22,12:22,,,12:27,12:27,,,,12:35,12:35,12:35,Condition,Condition,Condition,12:38,12:38,12:38,,,,12:41,12:41,12:41,,,,12:45,12:45,12:45,,,,,,,,
Khar Road,12:22,12:22,12:25,12:25,,,12:30,12:30,,,,12:38,12:38,12:38,,,,12:41,12:41,12:41,,,,12:44,12:44,12:44,,,,12:48,12:48,12:48,,,,,,,,
BANDRA,12:26,12:26,12:30,12:30,12:22,12:22,12:34,12:34,,,,12:42,12:42,12:42,12:32,12:32,12:32,12:45,12:45,12:45,,,,12:48,12:48,12:48,12:39,12:39,12:39,12:53,12:53,12:53,,,,,12:43,12:43,12:43,
Mahim Jn.,12:29,12:29,12:33,12:33,,,12:37,12:37,,,,12:45,12:45,12:45,,,,12:48,12:48,12:48,,,,12:51,12:51,12:51,,,,12:56,12:56,12:56,,,,,,,,
Matunga Road,12:32,12:32,12:36,12:36,,,12:40,12:40,,,,12:48,12:48,12:48,,,,12:51,12:51,12:51,,,,12:54,12:54,12:54,,,,12:59,12:59,12:59,,,,,,,,
DADAR,12:36,12:36,12:40,12:40,12:28,12:28,12:44,12:44,,,,12:52,12:52,12:52,12:37,12:37,12:37,12:55,12:55,12:55,,,,12:58,12:58,12:58,12:45,12:45,12:45,13:02,13:02,13:02,,,,,12:49,12:49,12:49,
Prabhadevi,12:38,12:38,12:42,12:42,,,12:46,12:46,,,,12:54,12:54,12:54,,,,12:57,12:57,12:57,,,,13:00,13:00,13:00,,,,13:04,13:04,13:04,,,,,,,,
Lower Parel,12:41,12:41,12:45,12:45,,,12:49,12:49,,,,12:57,12:57,12:57,,,,13:00,13:00,13:00,,,,13:03,13:03,13:03,,,,13:07,13:07,13:07,,,,,,,,
Mahalakshmi,12:44,12:44,12:48,12:48,,,12:52,12:52,,,,13:00,13:00,13:00,,,,13:03,13:03,13:03,,,,13:06,13:06,13:06,,,,13:10,13:10,13:10,,,,,,,,
M'BAI CENTRAL(L,12:47,12:47,12:51,12:51,12:35,12:35,12:55,12:55,,,,13:03,13:03,13:03,12:44,12:44,12:44,13:06,13:06,13:06,,,,13:09,13:09,13:09,12:52,12:52,12:52,13:13,13:13,13:13,,,,,12:57,12:57,12:57,
Grant Road,12:49,12:49,12:53,12:53,12:37,12:37,12:57,12:57,,,,13:05,13:05,13:05,12:46,12:46,12:46,13:08,13:08,13:08,,,,13:11,13:11,13:11,,,,13:15,13:15,13:15,,,,,12:59,12:59,12:59,
Charni Road,12:51,12:51,12:55,12:55,12:39,12:39,12:59,12:59,,,,13:07,13:07,13:07,12:48,12:48,12:48,13:10,13:10,13:10,,,,13:13,13:13,13:13,,,,13:17,13:17,13:17,,,,,13:01,13:01,13:01,
Marine Lines,12:54,12:54,12:58,12:58,12:42,12:42,13:02,13:02,,,,13:10,13:10,13:10,12:51,12:51,12:51,13:13,13:13,13:13,,,,13:16,13:16,13:16,,,,13:20,13:20,13:20,,,,,13:04,13:04,13:04,
CHURCHGATE,12:58,12:58,13:02,13:02,12:48,12:48,13:08,13:08,,,,13:13,13:13,13:13,12:57,12:57,12:57,13:16,13:16,13:16,,,,13:19,13:19,13:19,13:00,13:00,13:00,13:24,13:24,13:24,,,,,13:08,13:08,13:08,
STATIONS UP TRAINS,VR 90440 12 CAR,GMN 90442 12 CAR,GMN 90442 12 CAR,BVI 90444 12 CAR,BVI 90444 12 CAR,BVI 90446 12 CAR,BVI 90446 12 CAR,BYR 90448 12 CAR,BYR 90448 12 CAR,VR 90450 12 CAR,VR 90450 12 CAR,VR 90450 12 CAR,GMN 90452 12 CAR,GMN 90452 12 CAR,GMN 90452 12 CAR,VR 90454 12 CAR,VR 90454 12 CAR,VR 90454 12 CAR,VR 92094 15 CAR,VR 92094 15 CAR,VR 92094 15 CAR,BVI 90456 12 CAR,BVI 90456 12 CAR,BVI 90456 12 CAR,VR 92096 15 CAR,VR 92096 15 CAR,VR 92096 15 CAR,VR 90458 12 CAR,VR 90458 12 CAR,VR 90458 12 CAR,BVI 90460 12 CAR,BVI 90460 12 CAR,BVI 90460 12 CAR,BVI 90462 12 CAR,BVI 90462 12 CAR,BVI 90462 12 CAR,BVI 90462 12 CAR,BVI 90462 12 CAR,,
VIRAR,11:52,,,,,,,,,12:00,12:00,12:00,,,,12:05,12:05,12:05,12:09,12:09,12:09,,,,12:10,12:10,12:10,12:13,12:13,12:13,,,,NOT ON,NOT ON,NOT ON,NOT ON,NOT ON,,
Nalla Sopara,11:58,,,,,,,,,12:07,12:07,12:07,,,,12:11,12:11,12:11,12:15,12:15,12:15,,,,12:15,12:15,12:15,12:19,12:19,12:19,,,,SUN,SUN,SUN,SUN,SUN,,
VASAI ROAD,12:03,,,,,,,,,12:13,12:13,12:13,,,,12:16,12:16,12:16,12:20,12:20,12:20,,,,12:20,12:20,12:20,12:24,12:24,12:24,,,,ONLY,ONLY,ONLY,ONLY,ONLY,,
Naigaon,12:07,,,,,,,,,12:18,12:18,12:18,,,,12:20,12:20,12:20,12:24,12:24,12:24,,,,12:25,12:25,12:25,12:29,12:29,12:29,,,,,,,,,,
BHAYANDAR,12:13,,,,,,,12:23,12:23,12:24,12:24,12:24,,,,12:27,12:27,12:27,12:30,12:30,12:30,,,,12:31,12:31,12:31,12:34,12:34,12:34,,,,,,,,,,
Mira Road,12:18,,,,,,,12:28,12:28,12:29,12:29,12:29,,,,12:32,12:32,12:32,12:35,12:35,12:35,,,,12:36,12:36,12:36,12:39,12:39,12:39,,,,,,,,,,
Dahisar,12:22,,,,,,,12:32,12:32,12:34,12:34,12:34,,,,12:36,12:36,12:36,12:39,12:39,12:39,,,,12:40,12:40,12:40,12:43,12:43,12:43,,,,,,,,,,
BORIVALI,12:28,,,12:29,12:29,12:37,12:37,12:37,12:37,12:40,12:40,12:40,,,,12:41,12:41,12:41,,,,12:45,12:45,12:45,12:44,12:44,12:44,12:47,12:47,12:47,12:50,12:50,12:50,12:53,12:53,12:53,12:53,12:53,,
Kandivali,,,,12:35,12:35,12:42,12:42,,,,,,,,,12:45,12:45,12:45,,,,12:50,12:50,12:50,,,,12:53,12:53,12:53,12:56,12:56,12:56,12:59,12:59,12:59,12:59,12:59,,
Malad,,,,12:38,12:38,12:45,12:45,,,,,,,,,12:48,12:48,12:48,,,,12:53,12:53,12:53,NOT ON,NOT ON,NOT ON,12:56,12:56,12:56,12:59,12:59,12:59,13:02,13:02,13:02,13:02,13:02,,
Goregaon,,12:30,12:30,12:41,12:41,12:48,12:48,,,,,,12:50,12:50,12:50,12:51,12:51,12:51,,,,12:56,12:56,12:56,SUN,SUN,SUN,12:59,12:59,12:59,13:02,13:02,13:02,13:05,13:05,13:05,13:05,13:05,,
Ram Mandir,,12:33,12:33,12:43,12:43,12:50,12:50,,,,,,12:53,12:53,12:53,12:53,12:53,12:53,,,,12:58,12:58,12:58,ONLY,ONLY,ONLY,13:01,13:01,13:01,13:04,13:04,13:04,13:07,13:07,13:07,13:07,13:07,,
Jogeshwari,,12:36,12:36,12:46,12:46,12:53,12:53,,,,,,12:56,12:56,12:56,12:56,12:56,12:56,,,,13:01,13:01,13:01,,,,13:04,13:04,13:04,13:07,13:07,13:07,13:10,13:10,13:10,13:10,13:10,,
ANDHERI,12:42,12:40,12:40,12:50,12:50,12:57,12:57,12:50,12:50,12:54,12:54,12:54,13:00,13:00,13:00,13:03,13:03,13:03,,,,13:05,13:05,13:05,12:57,12:57,12:57,13:08,13:08,13:08,13:11,13:11,13:11,13:14,13:14,13:14,13:14,13:14,,
Vile Parle,,12:44,12:44,12:53,12:53,13:00,13:00,,,,,,13:03,13:03,13:03,,,,,,,13:08,13:08,13:08,,,,13:11,13:11,13:11,13:14,13:14,13:14,13:17,13:17,13:17,13:17,13:17,,
Santa Cruz,,12:47,12:47,12:56,12:56,13:03,13:03,,,,,,13:06,13:06,13:06,,,,,,,13:11,13:11,13:11,,,,13:14,13:14,13:14,13:17,13:17,13:17,13:20,13:20,13:20,13:20,13:20,,
Khar Road,,12:50,12:50,12:59,12:59,13:06,13:06,,,,,,13:09,13:09,13:09,,,,,,,13:14,13:14,13:14,,,,13:17,13:17,13:17,13:20,13:20,13:20,13:23,13:23,13:23,13:23,13:23,,
BANDRA,12:51,12:56,12:56,13:03,13:03,13:10,13:10,12:59,12:59,13:03,13:03,13:03,13:13,13:13,13:13,,,,,,,13:18,13:18,13:18,13:06,13:06,13:06,13:21,13:21,13:21,13:24,13:24,13:24,13:27,13:27,13:27,13:27,13:27,,
Mahim Jn.,,12:59,12:59,13:06,13:06,13:13,13:13,,,,,,13:16,13:16,13:16,,,,,,,13:21,13:21,13:21,,,,13:24,13:24,13:24,13:27,13:27,13:27,13:30,13:30,13:30,13:30,13:30,,
Matunga Road,,13:02,13:02,13:09,13:09,13:16,13:16,,,,,,13:19,13:19,13:19,,,,,,,13:24,13:24,13:24,,,,13:27,13:27,13:27,13:30,13:30,13:30,13:33,13:33,13:33,13:33,13:33,,
DADAR,12:57,13:06,13:06,13:13,13:13,13:20,13:20,13:06,13:06,13:09,13:09,13:09,13:23,13:23,13:23,,,,,,,13:28,13:28,13:28,13:16,13:16,13:16,13:31,13:31,13:31,13:34,13:34,13:34,13:37,13:37,13:37,13:37,13:37,,
Prabhadevi,,13:08,13:08,13:15,13:15,13:22,13:22,,,,,,13:25,13:25,13:25,,,,,,,13:30,13:30,13:30,,,,13:33,13:33,13:33,13:36,13:36,13:36,13:39,13:39,13:39,13:39,13:39,,
Lower Parel,,13:11,13:11,13:18,13:18,13:25,13:25,,,,,,13:28,13:28,13:28,,,,,,,13:33,13:33,13:33,,,,13:36,13:36,13:36,13:39,13:39,13:39,13:42,13:42,13:42,13:42,13:42,,
Mahalakshmi,,13:14,13:14,13:21,13:21,13:28,13:28,,,,,,13:31,13:31,13:31,,,,,,,13:36,13:36,13:36,,,,13:39,13:39,13:39,13:42,13:42,13:42,13:45,13:45,13:45,13:45,13:45,,
M'BAI CENTRAL(L,13:04,13:17,13:17,13:24,13:24,13:31,13:31,,,13:16,13:16,13:16,13:34,13:34,13:34,,,,,,,13:39,13:39,13:39,,,,13:42,13:42,13:42,13:45,13:45,13:45,13:48,13:48,13:48,13:48,13:48,,
Grant Road,13:06,13:19,13:19,13:26,13:26,13:33,13:33,,,13:18,13:18,13:18,13:36,13:36,13:36,,,,,,,13:41,13:41,13:41,,,,13:44,13:44,13:44,13:47,13:47,13:47,13:50,13:50,13:50,13:50,13:50,,
Charni Road,13:08,13:21,13:21,13:28,13:28,13:35,13:35,,,13:20,13:20,13:20,13:38,13:38,13:38,,,,,,,13:43,13:43,13:43,,,,13:46,13:46,13:46,13:49,13:49,13:49,13:52,13:52,13:52,13:52,13:52,,
Marine Lines,13:11,13:24,13:24,13:31,13:31,13:38,13:38,,,13:23,13:23,13:23,13:41,13:41,13:41,,,,,,,13:46,13:46,13:46,,,,13:49,13:49,13:49,13:52,13:52,13:52,13:55,13:55,13:55,13:55,13:55,,
CHURCHGATE,13:15,13:28,13:28,13:34,13:34,13:41,13:41,,,13:28,13:28,13:28,13:45,13:45,13:45,,,,,,,13:49,13:49,13:49,,,,13:52,13:52,13:52,13:55,13:55,13:55,13:58,13:58,13:58,13:58,13:58,,
STATIONS UP TRAINS,VR 94034 12 CAR,VR 94034 12 CAR,BVI 90466 12 CAR,BVI 90466 12 CAR,BYR 90468 12 CAR,BYR 90468 12 CAR,VR 90470 12 CAR,VR 90470 12 CAR,BVI 90472 12 CAR,BVI 90472 12 CAR,VR 92098 15 CAR,VR 92098 15 CAR,VR 92098 15 CAR,DRD 93014 12 CAR,DRD 93014 12 CAR,DRD 93014 12 CAR,GMN 90474 12 CAR,GMN 90474 12 CAR,GMN 90474 12 CAR,BVI 90476 12 CAR,BVI 90476 12 CAR,BVI 90476 12 CAR,VR 90478 12 CAR,VR 90478 12 CAR,VR 90478 12 CAR,BVI 90480 12 CAR,BVI 90480 12 CAR,BVI 90480 12 CAR,BVI 90482 12 CAR,BVI 90482 12 CAR,BVI 90482 12 CAR,VR 90484 12 CAR,VR 90484 12 CAR,VR 90484 12 CAR,VR 90484 12 CAR,BYR 90486 12 CAR,BYR 90486 12 CAR,BYR 90486 12 CAR,BYR 90486 12 CAR,
VIRAR,12:20,12:20,,,,,12:26,12:26,,,12:30,12:30,12:30,12:45,12:45,12:45,,,,NOT ON,NOT ON,NOT ON,12:41,12:41,12:41,,,,,,,12:45,12:45,12:45,12:45,,,,,
Nalla Sopara,12:26,12:26,,,,,12:32,12:32,,,12:36,12:36,12:36,,,,,,,SUN,SUN,SUN,12:47,12:47,12:47,,,,,,,12:51,12:51,12:51,12:51,,,,,
VASAI ROAD,12:31,12:31,,,,,12:37,12:37,,,12:41,12:41,12:41,,,,,,,ONLY,ONLY,ONLY,12:52,12:52,12:52,,,,,,,12:56,12:56,12:56,12:56,,,,,
Naigaon,12:36,12:36,,,,,12:42,12:42,,,12:47,12:47,12:47,,,,,,,,,,12:57,12:57,12:57,,,,,,,13:01,13:01,13:01,13:01,,,,,
BHAYANDAR,12:41,12:41,,,12:44,12:44,12:48,12:48,,,12:53,12:53,12:53,,,,,,,,,,13:03,13:03,13:03,,,,,,,13:07,13:07,13:07,13:07,13:09,13:09,13:09,13:09,
Mira Road,12:46,12:46,,,12:50,12:50,12:53,12:53,,,12:58,12:58,12:58,,,,,,,,,,13:09,13:09,13:09,,,,,,,13:12,13:12,13:12,13:12,13:16,13:16,13:16,13:16,
Dahisar,12:50,12:50,,,12:54,12:54,12:57,12:57,,,13:02,13:02,13:02,,,,,,,,,,13:13,13:13,13:13,,,,,,,13:16,13:16,13:16,13:16,13:20,13:20,13:20,13:20,
BORIVALI,12:54,12:54,13:01,13:01,12:58,12:58,13:02,13:02,13:05,13:05,13:06,13:06,13:06,,,,,,,13:11,13:11,13:11,13:17,13:17,13:17,13:14,13:14,13:14,13:18,13:18,13:18,13:21,13:21,13:21,13:21,13:24,13:24,13:24,13:24,
Kandivali,,,13:06,13:06,,,,,13:11,13:11,,,,,,,,,,13:17,13:17,13:17,,,,13:20,13:20,13:20,13:24,13:24,13:24,13:27,13:27,13:27,13:27,,,,,
Malad,ON SAT,ON SAT,13:09,13:09,,,,,13:14,13:14,,,,,,,,,,13:20,13:20,13:20,,,,13:23,13:23,13:23,13:27,13:27,13:27,13:30,13:30,13:30,13:30,,,,,
Goregaon,& SUN,& SUN,13:12,13:12,,,,,13:17,13:17,,,,,,,13:19,13:19,13:19,13:23,13:23,13:23,,,,13:26,13:26,13:26,13:30,13:30,13:30,13:33,13:33,13:33,13:33,,,,,
Ram Mandir,NON AC,NON AC,13:14,13:14,,,,,13:19,13:19,,,,,,,13:22,13:22,13:22,13:25,13:25,13:25,,,,13:28,13:28,13:28,13:32,13:32,13:32,13:35,13:35,13:35,13:35,,,,,
Jogeshwari,,,13:17,13:17,,,,,13:22,13:22,,,,,,,13:25,13:25,13:25,13:28,13:28,13:28,,,,13:31,13:31,13:31,13:35,13:35,13:35,13:38,13:38,13:38,13:38,,,,,
ANDHERI,13:08,13:08,13:21,13:21,13:13,13:13,13:17,13:17,13:26,13:26,13:20,13:20,13:20,,,,13:29,13:29,13:29,13:32,13:32,13:32,13:29,13:29,13:29,13:36,13:36,13:36,13:40,13:40,13:40,13:43,13:43,13:43,13:43,13:38,13:38,13:38,13:38,
Vile Parle,Air,Air,13:24,13:24,,,,,13:29,13:29,,,,,,,13:33,13:33,13:33,13:36,13:36,13:36,,,,13:40,13:40,13:40,13:43,13:43,13:43,13:47,13:47,13:47,13:47,,,,,
Santa Cruz,Condition,Condition,13:27,13:27,,,,,13:32,13:32,,,,,,,13:36,13:36,13:36,13:39,13:39,13:39,,,,13:43,13:43,13:43,13:46,13:46,13:46,13:50,13:50,13:50,13:50,,,,,
Khar Road,,,13:30,13:30,,,,,13:35,13:35,,,,,,,13:39,13:39,13:39,13:42,13:42,13:42,,,,13:46,13:46,13:46,13:49,13:49,13:49,13:53,13:53,13:53,13:53,,,,,
BANDRA,13:18,13:18,13:34,13:34,13:22,13:22,13:26,13:26,13:39,13:39,13:29,13:29,13:29,,,,13:43,13:43,13:43,13:46,13:46,13:46,13:39,13:39,13:39,13:50,13:50,13:50,13:53,13:53,13:53,13:57,13:57,13:57,13:57,13:47,13:47,13:47,13:47,
Mahim Jn.,,,13:37,13:37,,,,,13:42,13:42,,,,,,,13:46,13:46,13:46,13:49,13:49,13:49,,,,13:53,13:53,13:53,13:56,13:56,13:56,14:00,14:00,14:00,14:00,,,,,
Matunga Road,,,13:40,13:40,,,,,13:45,13:45,,,,,,,13:49,13:49,13:49,13:52,13:52,13:52,,,,13:56,13:56,13:56,13:59,13:59,13:59,14:03,14:03,14:03,14:03,,,,,
DADAR,13:23,13:23,13:44,13:44,13:28,13:28,13:31,13:31,13:49,13:49,13:36,13:36,13:36,,,,13:53,13:53,13:53,13:56,13:56,13:56,13:46,13:46,13:46,14:00,14:00,14:00,14:03,14:03,14:03,14:07,14:07,14:07,14:07,13:55,13:55,13:55,13:55,
Prabhadevi,,,13:46,13:46,,,,,13:51,13:51,,,,,,,13:55,13:55,13:55,13:58,13:58,13:58,,,,14:02,14:02,14:02,14:05,14:05,14:05,14:09,14:09,14:09,14:09,,,,,
Lower Parel,,,13:49,13:49,,,,,13:54,13:54,,,,,,,13:58,13:58,13:58,14:01,14:01,14:01,,,,14:05,14:05,14:05,14:08,14:08,14:08,14:12,14:12,14:12,14:12,,,,,
Mahalakshmi,,,13:52,13:52,,,,,13:57,13:57,,,,,,,14:01,14:01,14:01,14:04,14:04,14:04,,,,14:08,14:08,14:08,14:11,14:11,14:11,14:15,14:15,14:15,14:15,,,,,
M'BAI CENTRAL(L,13:30,13:30,13:55,13:55,13:35,13:35,13:38,13:38,14:00,14:00,,,,,,,14:04,14:04,14:04,14:07,14:07,14:07,13:54,13:54,13:54,14:11,14:11,14:11,14:14,14:14,14:14,14:18,14:18,14:18,14:18,,,,,
Grant Road,13:32,13:32,13:57,13:57,13:37,13:37,13:40,13:40,14:02,14:02,,,,,,,14:06,14:06,14:06,14:09,14:09,14:09,13:56,13:56,13:56,14:13,14:13,14:13,14:16,14:16,14:16,14:20,14:20,14:20,14:20,,,,,
Charni Road,13:34,13:34,13:59,13:59,13:39,13:39,13:42,13:42,14:04,14:04,,,,,,,14:08,14:08,14:08,14:11,14:11,14:11,13:58,13:58,13:58,14:15,14:15,14:15,14:18,14:18,14:18,14:22,14:22,14:22,14:22,,,,,
Marine Lines,13:37,13:37,14:02,14:02,13:42,13:42,13:45,13:45,14:07,14:07,,,,,,,14:11,14:11,14:11,14:14,14:14,14:14,14:01,14:01,14:01,14:18,14:18,14:18,14:21,14:21,14:21,14:25,14:25,14:25,14:25,,,,,
CHURCHGATE,13:40,13:40,14:05,14:05,13:46,13:46,13:49,13:49,14:10,14:10,,,,,,,14:14,14:14,14:14,14:17,14:17,14:17,14:05,14:05,14:05,14:21,14:21,14:21,14:24,14:24,14:24,14:28,14:28,14:28,14:28,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
