STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Dahisar,09:29,,09:33,,09:36,,09:36,09:40,,,,09:45,,,09:50,,,,,,,,,,,,,,,,,,,,,,,,,
BORIVALI,09:33,09:35,09:37,09:38,09:42,09:41,09:41,09:45,,,09:48,09:50,09:50,,09:55,,,,,,,,,,,,,,,,,,,,,,,,,
Kandivali,09:38,09:41,,09:44,,09:47,,,,,09:53,,09:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malad,09:42,09:44,,09:47,,09:50,,,,,09:56,,09:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goregaon,09:45,09:48,,09:50,,09:53,,,09:53,09:57,09:59,,10:02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Mandir,09:47,--,,09:52,,09:55,,,,10:00,--,,10:04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jogeshwari,09:50,09:53,,09:55,,09:58,,,09:58,10:03,10:04,,10:07,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDHERI,,09:57,09:52,10:00,,10:03,09:56,09:59,,10:07,10:09,10:05,10:12,10:14,10:12,,,,,,,,,,,,,,,,,,,,,,,,,
Vile Parle,,,,10:05,,10:08,,Air,,10:12,,,10:15,10:18,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,,,,10:08,,10:11,,Condition,,10:15,,,10:18,10:21,,,,,,,,,,,,,,,,,,,,,,,,,,
