STATIONS DN TRAINS,BVI 90841 12 CAR,BVI 90843 12 CAR,GMN 90845 12 CAR,DRD 93035 12 CAR,VR 94069 12 CAR,BVI 90849 12 CAR,VR 90851 12 CAR,BVI 90853 12 CAR,BA 90855 12 CAR,GMN 90857 12 CAR,BVI 90859 12 CAR,GMN 90861 12 CAR,BVI 90863 12 CAR,VR 92183 15 CAR
STATIONS DN TRAINS,BA 90935 12 CAR,BYR 92195 12 CAR,VR 90937 12 CAR,BVI 90939 12 CAR,BVI 90941 12 CAR,BVI 90943 12 CAR,VR 90945 12 CAR,BVI 90947 12 CAR,BVI 90949 12 CAR,BVI 90951 12 CAR,MDD 94075 12 CAR,BVI 90953 12 CAR,BA 90953A 12 CAR,BYR 90957 12 CAR
CHURCHGATE,21:33,,,21:36,21:39,21:42,21:44,21:45,21:48,21:48,21:51,21:52,21:55,
Marine Lines,21:36,,,21:39,21:42,21:45,21:47,21:48,21:51,21:51,21:54,21:55,21:58,
Charni Road,21:38,,,21:41,21:44,21:47,21:49,21:50,21:53,21:53,21:56,21:57,22:00,
Grant Road,21:41,,,21:44,21:47,21:50,21:52,21:53,21:56,21:56,21:59,22:00,22:03,
M'BAI CENTRAL (L),21:43,,,21:46,21:49,21:52,21:54,21:55,21:58,21:58,22:01,22:02,22:05,
Mahalakshmi,21:46,,,21:49,21:52,21:55,,21:58,22:01,,Air,22:05,22:08,
Lower Parel,21:49,,,21:52,21:55,21:58,,22:01,22:04,,Condition,22:08,22:11,
Prabhadevi,21:52,,,21:55,21:58,22:01,,22:04,22:07,,,22:11,22:14,
DADAR,21:54,,,21:57,22:00,22:03,22:02,22:06,22:09,22:06,22:08,22:13,22:16,
Matunga Road,21:56,,,21:59,22:02,22:05,,22:08,22:11,,,22:15,22:18,
Mahim Jn.,21:59,,,22:02,22:05,22:08,,22:11,22:14,,,22:18,22:21,
BANDRA,22:03,,,22:06,22:09,22:12,22:07,22:15,22:18,22:11,22:14,22:22,22:26,
Khar Road,,,,22:09,22:12,22:15,,22:18,22:21,,,22:26,,
Santa Cruz,,,,22:11,22:14,22:17,,22:20,22:23,,,22:28,,
Vile Parle,,,,22:14,22:17,22:20,,22:23,22:26,,,22:31,,
ANDHERI,,22:16,,22:20,22:23,22:26,22:16,22:29,22:32,22:19,22:22,22:37,,
Jogeshwari,,22:20,,22:23,22:27,22:30,,22:33,22:36,22:22,22:25,22:41,,
Ram Mandir,,22:23,,22:26,22:30,22:33,,22:36,22:39,--,--,22:44,,
