,STATIONS UP TRAINS,BVI 90958 12 CAR,VR 92190 15 CAR,VR 90960 12 CAR,VR 90962 12 CAR,BVI 90964 12 CAR,VR 90966 12 CAR,DRD 93036 12 CAR,VR 90968 12 CAR,VR 90968 12 CAR.1,VR 90970 12 CAR,VR 90970 12 CAR.1,BVI 90972 12 CAR,BVI 90972 12 CAR.1,BVI 90974 12 CAR,VR 90976 12 CAR,BVI 90978 12 CAR,VR 92192 15 CAR,BVI 90980 12 CAR
68,Malad,23:56,,00:13,00:17,00:22,00:29,00:38,,,00:46,,,,,,,,
69,Goregaon,23:59,,00:16,00:20,00:25,00:32,00:41,,,00:49,,,,,,,,
70,Ram Mandir,00:01,,00:18,00:22,00:27,00:34,00:43,,,00:51,,,,,,,,
71,Jogeshwari,00:04,,00:21,00:25,00:30,00:37,00:46,,,00:54,,,,,,,,
72,ANDHERI,00:09,,00:25,00:30,00:37,00:41,00:50,,,01:00,,,,,,,,
73,Vile Parle,00:12,,00:28,00:33,,00:44,00:53,,,01:03,,,,,,,,
74,Santa Cruz,00:15,,00:31,00:36,,00:47,00:56,,,01:06,,,,,,,,
75,Khar Road,00:18,,00:34,00:39,,00:50,00:59,,,01:09,,,,,,,,
76,BANDRA,00:22,,00:38,00:43,,00:54,01:03,,,01:13,,,,,,,,
77,Mahim Jn.,00:25,,00:41,00:46,,00:57,01:06,,,01:16,,,,,,,,
78,Matunga Road,00:28,,00:44,00:49,,01:00,01:09,,,01:19,,,,,,,,
79,DADAR,00:32,,00:48,00:53,,01:04,01:13,,,01:23,,,,,,,,
80,Prabhadevi,00:34,,00:50,00:55,,01:06,01:15,,,01:25,,,,,,,,
81,Lower Parel,00:37,,00:53,00:58,,01:09,01:18,,,01:28,,,,,,,,
82,Mahalakshmi,00:40,,00:56,01:01,,01:12,01:21,,,01:31,,,,,,,,
83,M'BAI CENTRAL(L,00:43,,00:59,01:04,,01:15,01:24,,,01:34,,,,,,,,
84,Grant Road,00:45,,01:01,01:06,,01:17,01:26,,,01:36,,,,,,,,
85,Charni Road,00:47,,01:03,01:08,,01:19,01:28,,,01:38,,,,,,,,
86,Marine Lines,00:50,,01:06,01:11,,01:22,01:31,,,01:41,,,,,,,,
87,CHURCHGATE,00:53,,01:10,01:15,,01:26,01:35,,,01:45,,,,,,,,
