,STATIONS,Borivali,Virar,Virar.1,Virar.2,Virar.3,Dahanu Road,Virar.4,Virar.5,Virar.6,Virar.7,Virar.8,Virar.9,Virar.10,Virar.11,Virar.12,Vasai Road,Vasai Road.1,Borivali.1,Borivali.2,Borivali.3,Borivali.4,Borivali.5,Borivali.6
0,DN TRAINS,90001,92001,92003,90003,92005,93001,94001,94001,94001,90007,90007,90009,90009,90011,90011,90013,90013,90015,90015,90017,90017,90019,90019
1,,12 CAR,15 CAR,15 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR
74,BANDRA,,05:45,,05:48,,05:55,05:55,05:59,05:59,05:51,05:51,06:03,06:03,06:02,06:02,,,06:06,06:06,06:11,06:11,06:15,06:15
75,Khar Road,,05:48,,05:51,,05:58,05:58,06:02,06:02,,,,,06:05,06:05,,,06:09,06:09,06:14,06:14,06:18,06:18
76,Santa Cruz,,05:50,,05:54,,06:00,06:00,06:04,06:04,,,,,06:07,06:07,,,06:11,06:11,06:16,06:16,06:20,06:20
77,Vile Parle,,05:53,,05:57,,06:03,06:03,06:07,06:07,,,,,06:10,06:10,,,06:14,06:14,06:19,06:19,06:23,06:23
78,ANDHERI,,05:58,,06:02,06:05,06:08,06:08,06:12,06:12,06:00,06:00,06:11,06:11,06:15,06:15,,,06:19,06:19,06:24,06:24,06:28,06:28
79,Jogeshwari,,06:01,,06:05,06:09,06:12,06:12,06:15,06:15,,,,,06:18,06:18,,,06:22,06:22,06:27,06:27,06:31,06:31
80,Ram Mandir,,06:04,,06:08,06:12,06:15,06:15,06:18,06:18,,,,,06:21,06:21,,,06:25,06:25,06:30,06:30,06:34,06:34
81,Goregaon,,06:06,,06:13,06:14,06:17,06:17,06:20,06:20,,,,,06:23,06:23,,,06:27,06:27,06:32,06:32,06:36,06:36
82,Malad,,06:10,,,06:18,06:21,06:21,06:24,06:24,,,,,06:27,06:27,,,06:31,06:31,06:36,06:36,06:40,06:40
83,Kandivli,,06:13,,,06:21,06:24,06:24,06:27,06:27,,,,,06:30,06:30,,,06:34,06:34,06:39,06:39,06:43,06:43
84,BORIVALI,06:06,06:19,06:20,,06:27,06:30,06:30,06:33,06:33,06:12,06:12,06:24,06:24,06:36,06:36,06:36,06:36,06:41,06:41,06:46,06:46,06:50,06:50
85,Dahisar,06:10,,06:25,NOT ON,06:32,,,,,06:15,06:15,06:29,06:29,,,06:41,06:41,,,,,,
86,Mira Road,06:15,,06:30,SUN &,06:37,,,,,06:20,06:20,06:34,06:34,,,06:46,06:46,,,,,ON SAT,ON SAT
87,Bhayandar,06:20,,06:35,HOLIDAY,06:42,,,,,06:25,06:25,06:39,06:39,,,06:50,06:50,,,,,& SUN,& SUN
88,Naigaon,06:26,,06:41,,06:48,Air,Air,,,06:31,06:31,06:44,06:44,,,06:56,06:56,,,,,NON AC,NON AC
89,Vasai Road,06:33,,06:46,,06:53,Condition,Condition,,,06:36,06:36,06:49,06:49,,,07:01,07:01,,,,,,
90,Nalla Sopara,,,06:51,,06:58,,,,,06:41,06:41,06:54,06:54,,,07:06,07:06,,,,,Air,Air
91,VIRAR,,,06:57,,07:05,,,,,06:47,06:47,07:00,07:00,,,07:13,07:13,,,,,Condition,Condition
92,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,
