,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
375,Kharghar,19:51,19:55,,,,20:02,20:06,
376,Mansarovar,19:54,19:58,,,,20:05,20:09,
377,Khandeshwar,19:57,20:01,,,,20:08,20:12,
378,Panvel,20:02,20:06,,,,20:13,20:17,
379,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
380,Stations,98207 PL 167,98209 PLVD 41,98767 GN 67,98361 BR 47 X,98211 PL 169,99053 TPL 53 AC X,98915 PLGN 15,98867 B 67
381,,,,,,,,,
382,Mumbai CSMT,19:05,,19:09,19:13,19:17,TNA,,19:24
383,Masjid,19:08,,19:12,19:16,19:20,19:48,,19:27
384,Sandhurst Road,19:11,,19:15,19:19,19:23,,,19:30
385,Dockyard Road,19:13,,19:17,19:21,19:25,,,19:32
386,Reay Road,19:15,,19:19,19:23,19:27,,,19:34
387,Cotton Green,19:17,,19:21,19:25,19:29,,,19:36
388,Sewri,19:20,,19:24,19:28,19:32,,,19:39
389,Vadala Road,19:23,19:27,19:27,19:31,19:35,,19:39,19:43
390,King's Circle,,,19:32,,,,19:44,19:47
391,Mahim Jn,,,19:34,,,,19:46,19:49
392,Bandra,,,19:38,,,,19:50,19:54
393,Khar Road,,,19:43,,,,19:55,
394,Santacruz,,,19:46,,,,19:58,
395,Vileparle,,,19:49,,,,20:01,
396,Andheri,,,19:53,,,,20:05,
397,Jogeshwari,,,19:57,,,,20:09,
398,Ramnagar,,,20:00,,,,20:12,
399,Goregaon,,,20:04,,,,20:16,
400,GTB Nagar,19:28,19:32,,19:36,19:40,,,
401,Chunabhatti,19:31,19:35,,19:39,19:43,,,
402,Kurla,19:34,19:38,,19:42,19:46,,,
403,Tilaknagar,19:37,19:41,,19:45,19:49,,,
404,Chembur,19:39,19:43,,19:47,19:51,,,
405,Govandi,19:42,19:46,,19:50,19:54,,,
406,Mankhurd,19:45,19:49,,19:53,19:57,,,
407,Vashi,19:54,19:58,,20:02,20:06,,,
408,Sanpada,19:56,20:00,,20:04,20:08,,,
409,Juinagar,19:59,20:03,,20:07,20:11,,,
410,Nerul,20:03,20:07,,20:11,20:15,20:18,,
411,Seawood Darave,20:06,20:10,,20:14,20:18,20:22,,
412,Belapur CBD,20:10,20:14,,20:19,20:22,20:26,,
413,Kharghar,20:14,20:18,,,20:26,20:30,,
414,Mansarovar,20:17,20:21,,,20:29,20:33,,
415,Khandeshwar,20:20,20:24,,,20:32,20:36,,
416,Panvel,20:25,20:29,,,20:37,20:42,,
417,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
418,Stations,98912 GNPL 12,99055 TPL 55,98551 V 47 X,98213 PL 171,98363 BR 49,98769 GN 69,98215 PLVD 43,99057 TPL 57
419,,,,,,,,,
420,Mumbai CSMT,,TNA,19:28,19:32,19:36,19:40,,TNA
421,Masjid,,19:59,19:31,19:35,19:39,19:43,,20:15
422,Sandhurst Road,,,19:34,19:38,19:42,19:46,,
423,Dockyard Road,,,19:36,19:40,19:44,19:48,,
424,Reay Road,,,19:38,19:42,19:46,19:50,,
425,Cotton Green,,,19:40,19:44,19:48,19:52,,
426,Sewri,,,19:43,19:47,19:51,19:55,,
427,Vadala Road,19:43,,19:47,19:51,19:54,19:58,19:58,
428,King's Circle,,,,,,20:03,,
429,Mahim Jn,,,,,,20:05,,
430,Bandra,,,,,,20:09,,
431,Khar Road,,,,,,20:14,,
432,Santacruz,,,,,,20:17,,
433,Vileparle,,,,,,20:20,,
434,Andheri,,,,,,20:24,,
435,Jogeshwari,,,,,,20:28,,
436,Ramnagar,,,,,,20:31,,
437,Goregaon,,,,,,20:35,,
438,GTB Nagar,19:49,,19:53,19:57,20:00,,20:04,
439,Chunabhatti,19:52,,19:56,20:00,20:03,,20:07,
440,Kurla,19:55,,19:59,20:03,20:06,,20:10,
441,Tilaknagar,19:58,,20:02,20:06,20:09,,20:13,
442,Chembur,20:00,,20:04,20:08,20:11,,20:15,
443,Govandi,20:03,,20:07,20:11,20:14,,20:18,
444,Mankhurd,20:06,,20:10,20:14,20:17,,20:21,
445,Vashi,20:15,,20:19,20:23,20:26,,20:30,
446,Sanpada,20:17,,,20:25,20:28,,20:32,
447,Juinagar,20:20,,,20:28,20:31,,20:35,
448,Nerul,20:24,20:28,,20:32,20:35,,20:39,20:44
449,Seawood Darave,20:27,20:32,,20:36,20:39,,20:42,20:48
450,Belapur CBD,20:31,20:36,,20:40,20:43,,20:46,20:52
451,Kharghar,20:35,20:40,,20:44,,,20:50,20:56
452,Mansarovar,20:38,20:43,,20:47,,,20:53,20:59
453,Khandeshwar,20:41,20:46,,20:50,,,20:56,21:02
454,Panvel,20:46,20:51,,20:55,,,21:01,21:07
455,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
456,Stations,98553 V 49 X,98217 PL 173,98365 BR 51 X,98869 B 69,98219 PLVD 45 X,98221 PL 175 AC,98555 V 51,98914 GNPL 14
457,,,,,,,,,
458,Mumbai CSMT,19:44,19:48,19:52,19:56,,20:00,20:04,
459,Masjid,19:47,19:51,19:55,19:59,,20:03,20:07,
460,Sandhurst Road,19:50,19:54,19:58,20:02,,20:06,20:10,
461,Dockyard Road,19:52,19:56,20:00,20:04,,20:08,20:12,
462,Reay Road,19:54,19:58,20:02,20:06,,20:10,20:14,
463,Cotton Green,19:56,20:00,20:04,20:08,,20:12,20:16,
464,Sewri,19:59,20:03,20:07,20:11,,20:15,20:19,
465,Vadala Road,20:02,20:06,20:10,20:14,20:14,20:18,20:22,20:26
466,King's Circle,,,,20:18,,,,
467,Mahim Jn,,,,20:20,,,,
468,Bandra,,,,20:24,,,,
469,Khar Road,,,,,,,,
470,Santacruz,,,,,,,,
471,Vileparle,,,,,,,,
472,Andheri,,,,,,,,
473,Jogeshwari,,,,,,,,
474,Ramnagar,,,,,,,,
475,Goregaon,,,,,,,,
476,GTB Nagar,20:08,20:12,20:16,,20:20,20:24,20:28,20:32
477,Chunabhatti,20:11,20:15,20:19,,20:23,20:27,20:31,20:35
478,Kurla,20:14,20:18,20:22,,20:26,20:30,20:34,20:38
479,Tilaknagar,20:17,20:21,20:25,,20:28,20:32,20:36,20:41
480,Chembur,20:19,20:23,20:27,,20:31,20:35,20:39,20:43
481,Govandi,20:22,20:26,20:30,,20:34,20:38,20:42,20:46
482,Mankhurd,20:25,20:29,20:33,,20:37,20:41,20:45,20:49
483,Vashi,20:34,20:38,20:42,,20:46,20:50,20:54,20:58
484,Sanpada,,20:40,20:44,,20:48,20:52,,21:00
485,Juinagar,,20:43,20:47,,20:51,20:55,,21:03
486,Nerul,,20:48,20:51,,20:55,20:59,,21:07
487,Seawood Darave,,20:52,20:55,,20:58,21:02,,21:10
488,Belapur CBD,,20:56,20:59,,21:02,21:06,,21:14
489,Kharghar,,21:00,,,21:06,21:10,,21:18
490,Mansarovar,,21:03,,,21:09,21:13,,21:21
491,Khandeshwar,,21:06,,,21:12,21:16,,21:24
492,Panvel,,21:11,,,21:17,21:21,,21:29
493,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
494,Stations,98771 GN 71,98223 PL 177,99059 TPL 59,98871 B 71,98917 PLGN 17,98367 BR 53,98225 PL 179,98227 PLVD 47 X
495,,,,,,,,,
496,Mumbai CSMT,20:08,20:16,TNA,20:20,,20:28,20:32,
497,Masjid,20:11,20:19,20:50,20:23,,20:31,20:35,
498,Sandhurst Road,20:14,20:22,,20:26,,20:34,20:38,
499,Dockyard Road,20:16,20:24,,20:28,,20:36,20:40,
500,Reay Road,20:18,20:26,,20:30,,20:38,20:42,
501,Cotton Green,20:20,20:28,,20:32,,20:40,20:44,
502,Sewri,20:23,20:31,,20:35,,20:43,20:47,
503,Vadala Road,20:26,20:34,,20:38,20:42,20:46,20:50,20:54
504,King's Circle,20:31,,,20:42,20:47,,,
505,Mahim Jn,20:33,,,20:44,20:49,,,
506,Bandra,20:37,,,20:50,20:53,,,
507,Khar Road,20:42,,,,20:58,,,
508,Santacruz,20:45,,,,21:01,,,
509,Vileparle,20:48,,,,21:04,,,
510,Andheri,20:52,,,,21:08,,,
511,Jogeshwari,20:56,,,,21:12,,,
512,Ramnagar,20:59,,,,21:15,,,
513,Goregaon,21:03,,,,21:20,,,
514,GTB Nagar,,20:40,,,,20:52,20:56,21:00
515,Chunabhatti,,20:43,,,,20:55,20:59,21:03
516,Kurla,,20:46,,,,20:58,21:02,21:06
517,Tilaknagar,,20:49,,,,21:01,21:05,21:08
518,Chembur,,20:51,,,,21:03,21:07,21:11
519,Govandi,,20:54,,,,21:06,21:10,21:14
520,Mankhurd,,20:57,,,,21:09,21:13,21:17
521,Vashi,,21:06,,,,21:18,21:22,21:26
522,Sanpada,,21:08,,,,21:20,21:24,21:28
523,Juinagar,,21:11,,,,21:23,21:27,21:31
524,Nerul,,21:15,21:19,,,21:27,21:31,21:35
525,Seawood Darave,,21:18,21:23,,,21:30,21:34,21:38
526,Belapur CBD,,21:22,21:27,,,21:34,21:38,21:42
527,Kharghar,,21:26,21:31,,,,21:42,21:46
528,Mansarovar,,21:29,21:34,,,,21:45,21:49
529,Khandeshwar,,21:32,21:37,,,,21:48,21:52
530,Panvel,,21:37,21:42,,,,21:53,21:57
531,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
532,Stations,98773 GN 73,98557 V 53 X,99061 TPL 61,91491 WBO 1,98916 GNPL 16,98229 PL 181,98231 PLVD 49,98873 B 73
533,,,,,,,,,
534,Mumbai CSMT,20:36,20:40,TNA,20:46,,20:49,,20:54
535,Masjid,20:39,20:43,21:11,20:48,,20:52,,20:57
536,Sandhurst Road,20:42,20:46,,20:51,,20:55,,21:00
537,Dockyard Road,20:44,20:48,,20:53,,20:57,,21:02
538,Reay Road,20:46,20:50,,20:55,,20:59,,21:04
539,Cotton Green,20:48,20:52,,20:57,,21:01,,21:06
540,Sewri,20:51,20:55,,21:00,,21:04,,21:09
541,Vadala Road,20:54,20:58,,21:03,21:03,21:07,21:11,21:12
542,King's Circle,20:59,,,21:07,,,,21:16
543,Mahim Jn,21:01,,,21:09,,,,21:18
544,Bandra,21:05,,,21:13,,,,21:23
545,Khar Road,21:10,,,21:17,,,,
546,Santacruz,21:13,,,21:20,,,,
547,Vileparle,21:16,,,21:23,,,,
548,Andheri,21:20,,,21:27,,,,
549,Jogeshwari,21:24,,,21:31,,,,
550,Ramnagar,21:27,,,21:34,,,,
551,Goregaon,21:32,,,21:38,,,,
552,GTB Nagar,,21:04,,,21:08,21:12,21:16,
553,Chunabhatti,,21:07,,,21:11,21:15,21:19,
554,Kurla,,21:10,,BVI,21:14,21:18,21:22,
555,Tilaknagar,,21:13,,21:50,21:17,21:21,21:25,
556,Chembur,,21:15,,,21:19,21:23,21:27,
557,Govandi,,21:18,,,21:22,21:26,21:30,
558,Mankhurd,,21:21,,,21:25,21:29,21:33,
559,Vashi,,21:30,,,21:34,21:38,21:42,
560,Sanpada,,,,,21:36,21:40,21:44,
561,Juinagar,,,,,21:39,21:43,21:47,
562,Nerul,,,21:40,,21:43,21:47,21:51,
563,Seawood Darave,,,21:43,,21:46,21:50,21:54,
564,Belapur CBD,,,21:47,,21:50,21:54,21:58,
565,Kharghar,,,21:51,,21:54,21:58,22:02,
566,Mansarovar,,,21:54,,21:57,22:01,22:05,
567,Khandeshwar,,,21:57,,22:00,22:04,22:08,
568,Panvel,,,22:02,,22:05,22:09,22:13,
569,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
570,Stations,98233 PL 183,99063 TPL 63,98559 V 55 X,98775 GN 75,98235 PL 185,98369 BR 55,98875 B 75,98237 PLVD 51 X
571,,,,,,,,,
572,Mumbai CSMT,21:02,TNA,21:06,21:10,21:14,21:18,21:22,
573,Masjid,21:05,21:36,21:09,21:13,21:17,21:21,21:25,
574,Sandhurst Road,21:08,,21:12,21:16,21:20,21:24,21:28,
575,Dockyard Road,21:10,,21:14,21:18,21:22,21:26,21:30,
576,Reay Road,21:12,,21:16,21:20,21:24,21:28,21:32,
577,Cotton Green,21:14,,21:18,21:22,21:26,21:30,21:34,
578,Sewri,21:17,,21:21,21:25,21:29,21:33,21:37,
579,Vadala Road,21:20,,21:24,21:28,21:32,21:36,21:40,21:40
580,King's Circle,,,,21:33,,,21:44,
581,Mahim Jn,,,,21:35,,,21:46,
582,Bandra,,,,21:39,,,21:51,
583,Khar Road,,,,21:44,,,,
584,Santacruz,,,,21:47,,,,
585,Vileparle,,,,21:50,,,,
586,Andheri,,,,21:54,,,,
587,Jogeshwari,,,,21:58,,,,
588,Ramnagar,,,,22:01,,,,
589,Goregaon,,,,22:05,,,,
590,GTB Nagar,21:25,,21:29,,21:37,21:41,,21:45
591,Chunabhatti,21:28,,21:32,,21:40,21:44,,21:48
592,Kurla,21:31,,21:35,,21:43,21:47,,21:51
593,Tilaknagar,21:34,,21:38,,21:46,21:50,,21:54
594,Chembur,21:36,,21:40,,21:48,21:52,,21:56
595,Govandi,21:39,,21:43,,21:51,21:55,,21:59
596,Mankhurd,21:42,,21:46,,21:54,21:58,,22:02
597,Vashi,21:51,,21:55,,22:03,22:07,,22:11
598,Sanpada,21:53,,,,22:05,22:09,,22:13
599,Juinagar,21:56,,,,22:08,22:12,,22:16
600,Nerul,22:00,22:05,,,22:12,22:16,,22:20
601,Seawood Darave,22:03,22:09,,,22:15,22:19,,22:23
602,Belapur CBD,22:07,22:13,,,22:19,22:23,,22:27
603,Kharghar,22:11,22:17,,,22:23,,,22:31
604,Mansarovar,22:14,22:20,,,22:26,,,22:34
605,Khandeshwar,22:17,22:23,,,22:29,,,22:37
606,Panvel,22:22,22:28,,,22:34,,,22:42
607,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
608,Stations,99065 TPL 65 AC X,98561 V 57 X,98239 PL 187,98777 GN 77,98371 BR 57 X,98241 PL 189,98877 B 77,98563 V 59
609,,,,,,,,,
610,Mumbai CSMT,TNA,21:26,21:30,21:34,21:38,21:42,21:46,21:50
611,Masjid,21:52,21:29,21:33,21:37,21:41,21:45,21:49,21:53
612,Sandhurst Road,,21:32,21:36,21:40,21:44,21:48,21:52,21:56
613,Dockyard Road,,21:34,21:38,21:42,21:46,21:50,21:54,21:58
614,Reay Road,,21:36,21:40,21:44,21:48,21:52,21:56,22:00
615,Cotton Green,,21:38,21:42,21:46,21:50,21:54,21:58,22:02
616,Sewri,,21:41,21:45,21:49,21:53,21:57,22:01,22:05
617,Vadala Road,,21:44,21:48,21:52,21:56,22:00,22:04,22:08
618,King's Circle,,,,21:57,,,22:09,
619,Mahim Jn,,,,21:59,,,22:11,
620,Bandra,,,,22:03,,,22:16,
621,Khar Road,,,,22:08,,,,
622,Santacruz,,,,22:11,,,,
623,Vileparle,,,,22:14,,,,
624,Andheri,,,,22:18,,,,
625,Jogeshwari,,,,22:22,,,,
626,Ramnagar,,,,22:25,,,,
627,Goregaon,,,,22:29,,,,
628,GTB Nagar,,21:49,21:53,,22:01,22:05,,22:13
629,Chunabhatti,,21:52,21:56,,22:04,22:08,,22:16
630,Kurla,,21:55,21:59,,22:07,22:11,,22:19
631,Tilaknagar,,21:58,22:02,,22:10,22:14,,22:22
632,Chembur,,22:00,22:04,,22:12,22:16,,22:24
633,Govandi,,22:03,22:07,,22:15,22:19,,22:27
634,Mankhurd,,22:06,22:10,,22:18,22:22,,22:30
635,Vashi,,22:15,22:19,,22:27,22:31,,22:39
636,Sanpada,,,22:21,,22:29,22:33,,
637,Juinagar,,,22:24,,22:32,22:36,,
638,Nerul,22:23,,22:28,,22:36,22:40,,
639,Seawood Darave,22:27,,22:31,,22:39,22:43,,
640,Belapur CBD,22:31,,22:35,,22:43,22:47,,
641,Kharghar,22:35,,22:39,,,22:51,,
642,Mansarovar,22:38,,22:42,,,22:54,,
643,Khandeshwar,22:41,,22:45,,,22:57,,
644,Panvel,22:46,,22:50,,,23:02,,
645,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
646,Stations,99067 TPL 67,98243 PL 191,98373 BR 59,98918 GNPL 18,98779 GN 79,98245 PL 193,98879 B 79,98565 V 61 X
647,,,,,,,,,
648,Mumbai CSMT,TNA,21:54,21:58,,22:02,22:06,22:10,22:14
649,Masjid,22:15,21:57,22:01,,22:05,22:09,22:13,22:17
650,Sandhurst Road,,22:00,22:04,,22:08,22:12,22:16,22:20
651,Dockyard Road,,22:02,22:06,,22:10,22:14,22:18,22:22
652,Reay Road,,22:04,22:08,,22:12,22:16,22:20,22:24
653,Cotton Green,,22:06,22:10,,22:14,22:18,22:22,22:26
654,Sewri,,22:09,22:13,,22:17,22:21,22:25,22:29
655,Vadala Road,,22:12,22:16,22:20,22:20,22:24,22:28,22:32
656,King's Circle,,,,,22:25,,22:32,
657,Mahim Jn,,,,,22:27,,22:34,
658,Bandra,,,,,22:31,,22:39,
659,Khar Road,,,,,22:36,,,
660,Santacruz,,,,,22:39,,,
661,Vileparle,,,,,22:42,,,
662,Andheri,,,,,22:46,,,
663,Jogeshwari,,,,,22:50,,,
664,Ramnagar,,,,,22:53,,,
665,Goregaon,,,,,22:57,,,
666,GTB Nagar,,22:17,22:21,22:25,,22:29,,22:37
667,Chunabhatti,,22:20,22:24,22:28,,22:32,,22:40
668,Kurla,,22:23,22:27,22:31,,22:35,,22:43
669,Tilaknagar,,22:26,22:30,22:34,,22:38,,22:46
670,Chembur,,22:28,22:32,22:36,,22:40,,22:48
671,Govandi,,22:31,22:35,22:39,,22:43,,22:51
672,Mankhurd,,22:34,22:38,22:42,,22:46,,22:54
673,Vashi,,22:43,22:47,22:51,,22:55,,23:03
674,Sanpada,,22:45,22:49,22:53,,22:57,,
675,Juinagar,,22:48,22:52,22:56,,23:00,,
676,Nerul,22:44,22:52,22:56,23:00,,23:04,,
677,Seawood Darave,22:48,22:55,22:59,23:03,,23:07,,
678,Belapur CBD,22:52,22:59,23:03,23:07,,23:11,,
679,Kharghar,22:56,23:03,,23:11,,23:15,,
680,Mansarovar,22:59,23:06,,23:14,,23:18,,
681,Khandeshwar,23:02,23:09,,23:17,,23:21,,
682,Panvel,23:07,23:14,,23:22,,23:26,,
683,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
684,Stations,98247 PL 195,99069 TPL 69,98781 GN 81,98567 V 63,98249 PL 197,98881 B 81,98569 V 65 X,99071 TPL 71
685,,,,,,,,,
686,Mumbai CSMT,22:20,TNA,22:24,22:30,22:34,22:38,22:45,TNA
687,Masjid,22:23,22:55,22:27,22:33,22:37,22:41,22:48,23:14
688,Sandhurst Road,22:26,,22:30,22:36,22:40,22:44,22:51,
689,Dockyard Road,22:28,,22:32,22:38,22:42,22:46,22:53,
690,Reay Road,22:30,,22:34,22:40,22:44,22:48,22:55,
691,Cotton Green,22:32,,22:36,22:42,22:46,22:50,22:57,
692,Sewri,22:35,,22:39,22:45,22:49,22:53,23:00,
693,Vadala Road,22:38,,22:42,22:48,22:52,22:56,23:03,
694,King's Circle,,,22:47,,,23:00,,
695,Mahim Jn,,,22:49,,,23:02,,
696,Bandra,,,22:53,,,23:07,,
697,Khar Road,,,22:58,,,,,
698,Santacruz,,,23:01,,,,,
699,Vileparle,,,23:04,,,,,
700,Andheri,,,23:08,,,,,
701,Jogeshwari,,,23:12,,,,,
702,Ramnagar,,,23:15,,,,,
703,Goregaon,,,23:19,,,,,
704,GTB Nagar,22:43,,,22:53,22:57,,23:08,
705,Chunabhatti,22:46,,,22:56,23:00,,23:11,
706,Kurla,22:49,,,22:59,23:03,,23:14,
707,Tilaknagar,22:52,,,23:02,23:06,,23:17,
708,Chembur,22:54,,,23:04,23:08,,23:19,
709,Govandi,22:57,,,23:07,23:11,,23:22,
710,Mankhurd,23:00,,,23:10,23:14,,23:25,
711,Vashi,23:09,,,23:19,23:23,,23:34,
712,Sanpada,23:11,,,,23:25,,,
713,Juinagar,23:14,,,,23:28,,,
714,Nerul,23:18,23:24,,,23:32,,,23:43
715,Seawood Darave,23:21,23:28,,,23:35,,,23:47
716,Belapur CBD,23:25,23:32,,,23:39,,,23:51
717,Kharghar,23:29,23:36,,,23:43,,,23:55
718,Mansarovar,23:32,23:39,,,23:46,,,23:58
719,Khandeshwar,23:35,23:42,,,23:49,,,00:01
720,Panvel,23:40,23:47,,,23:54,,,00:06
721,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL)
722,Stations,98251 PL 199,98783 GN 83,98253 PL 201,98883 B 83,99073 TPL 73,98255 PL 203,98571 V 67 X,98785 GN 85
723,,,,,,,,,
724,Mumbai CSMT,22:50,22:54,22:58,23:02,TNA,23:14,23:20,23:26
725,Masjid,22:53,22:57,23:01,23:05,23:32,23:17,23:23,23:29
726,Sandhurst Road,22:56,23:00,23:04,23:08,,23:20,23:26,23:32
727,Dockyard Road,22:58,23:02,23:06,23:10,,23:22,23:28,23:34
728,Reay Road,23:00,23:04,23:08,23:12,,23:24,23:30,23:36
729,Cotton Green,23:02,23:06,23:10,23:14,,23:26,23:32,23:38
730,Sewri,23:05,23:09,23:13,23:17,,23:29,23:35,23:41
731,Vadala Road,23:08,23:12,23:16,23:20,,23:32,23:38,23:44
732,King's Circle,,23:16,,23:24,,,,23:48
733,Mahim Jn,,23:19,,23:26,,,,23:51
734,Bandra,,23:23,,23:31,,,,23:55
735,Khar Road,,23:28,,,,,,
736,Santacruz,,23:31,,,,,,00:03
737,Vileparle,,23:34,,,,,,00:06
738,Andheri,,23:38,,,,,,00:10
739,Jogeshwari,,23:42,,,,,,00:14
740,Ramnagar,,23:45,,,,,,00:17
741,Goregaon,,23:49,,,,,,00:21
742,GTB Nagar,23:13,,23:21,,,23:37,23:43,
743,Chunabhatti,23:16,,23:24,,,23:40,23:46,
744,Kurla,23:19,,23:27,,,23:43,23:49,
745,Tilaknagar,23:22,,23:30,,,23:46,23:52,
746,Chembur,23:24,,23:32,,,23:48,23:54,
747,Govandi,23:27,,23:35,,,23:51,23:57,
748,Mankhurd,23:30,,23:38,,,23:54,00:00,
749,Vashi,23:39,,23:47,,,00:03,00:09,
750,Sanpada,23:41,,23:49,,,00:05,,
751,Juinagar,23:44,,23:52,,,00:08,,
752,Nerul,23:48,,23:56,,00:01,00:12,,
753,Seawood Darave,23:51,,23:59,,00:05,00:15,,
754,Belapur CBD,23:55,,00:03,,00:09,00:19,,
755,Kharghar,23:59,,00:07,,00:13,00:23,,
