,UP HBR TRAINS,UP HBR TRAINS.1,UP HBR TRAINS.2,UP HBR TRAINS.3,UP HBR TRAINS.4,UP HBR TRAINS.5,UP HBR TRAINS.6,UP HBR TRAINS.7,UP HBR TRAINS.8,UP HBR TRAINS.9,UP HBR TRAINS.10,UP HBR TRAINS.11,UP HBR TRAINS.12,UP HBR TRAINS.13,UP HBR TRAINS.14,UP HBR TRAINS.15,UP HBR TRAINS.16,UP HBR TRAINS.17,UP HBR TRAINS.18,UP HBR TRAINS.19,UP HBR TRAINS.20,UP HBR TRAINS.21,UP HBR TRAINS.22,UP HBR TRAINS.23,UP HBR TRAINS.24,UP HBR TRAINS.25,UP HBR TRAINS.26,UP HBR TRAINS.27,UP HBR TRAINS.28,UP HBR TRAINS.29,UP HBR TRAINS.30,UP HBR TRAINS.31,UP HBR TRAINS.32,UP HBR TRAINS.33,UP HBR TRAINS.34,UP HBR TRAINS.35,UP HBR TRAINS.36,UP HBR TRAINS.37,UP HBR TRAINS.38,UP HBR TRAINS.39,UP HBR TRAINS.40,UP HBR TRAINS.41,UP HBR TRAINS.42,UP HBR TRAINS.43,UP HBR TRAINS.44,UP HBR TRAINS.45,UP HBR TRAINS.46,UP HBR TRAINS.47,UP HBR TRAINS.48,UP HBR TRAINS.49,UP HBR TRAINS.50,UP HBR TRAINS.51,UP HBR TRAINS.52,UP HBR TRAINS.53,UP HBR TRAINS.54,UP HBR TRAINS.55,UP HBR TRAINS.56,UP HBR TRAINS.57,UP HBR TRAINS.58,UP HBR TRAINS.59,UP HBR TRAINS.60,UP HBR TRAINS.61,UP HBR TRAINS.62,UP HBR TRAINS.63,UP HBR TRAINS.64,UP HBR TRAINS.65,UP HBR TRAINS.66,UP HBR TRAINS.67,UP HBR TRAINS.68,UP HBR TRAINS.69,UP HBR TRAINS.70,UP HBR TRAINS.71,UP HBR TRAINS.72,UP HBR TRAINS.73
96,DOCK YARD ROAD,16:49,17:05,17:05,17:17,17:17,17:37,17:37,17:46,17:46,17:46,DEP,DEP,DEP,DEP,DEP,DEP,DEP,17:57,17:57,17:57,17:57,17:57,17:57,DEP,DEP,DEP,DEP,DEP,DEP,DEP,DEP,18:13,18:13,18:13,18:13,18:13,18:30,18:30,18:30,18:30,18:30,18:30,18:42,18:42,18:42,18:42,18:42,18:42,DEP,DEP,DEP,DEP,DEP,DEP,DEP,18:58,18:58,18:58,18:58,18:58,18:58,19:06,19:06,19:06,19:06,19:06,19:06,DEP,DEP,DEP,DEP,DEP,19:25
97,SANDHURST ROAD,16:51,17:07,17:07,17:19,17:19,17:39,17:39,17:48,17:48,17:48,17:41,17:41,17:41,17:41,17:41,17:41,17:41,17:59,17:59,17:59,17:59,17:59,17:59,18:06,18:06,18:06,18:06,18:06,18:06,18:06,18:06,18:15,18:15,18:15,18:15,18:15,18:32,18:32,18:32,18:32,18:32,18:32,18:44,18:44,18:44,18:44,18:44,18:44,18:37,18:37,18:37,18:37,18:37,18:37,18:37,19:00,19:00,19:00,19:00,19:00,19:00,19:08,19:08,19:08,19:08,19:08,19:08,19:11,19:11,19:11,19:11,19:11,19:27
98,MASJID,16:53,17:09,17:09,17:21,17:21,17:41,17:41,17:50,17:50,17:50,GMN,GMN,GMN,GMN,GMN,GMN,GMN,18:01,18:01,18:01,18:01,18:01,18:01,GMN,GMN,GMN,GMN,GMN,GMN,GMN,GMN,18:17,18:17,18:17,18:17,18:17,18:34,18:34,18:34,18:34,18:34,18:34,18:46,18:46,18:46,18:46,18:46,18:46,GMN,GMN,GMN,GMN,GMN,GMN,GMN,19:02,19:02,19:02,19:02,19:02,19:02,19:10,19:10,19:10,19:10,19:10,19:10,PNVL,PNVL,PNVL,PNVL,PNVL,19:29
99,MUMBAI CSMT,16:56,17:12,17:12,17:24,17:24,17:44,17:44,17:53,17:53,17:53,18:18,18:18,18:18,18:18,18:18,18:18,18:18,18:04,18:04,18:04,18:04,18:04,18:04,18:45,18:45,18:45,18:45,18:45,18:45,18:45,18:45,18:20,18:20,18:20,18:20,18:20,18:37,18:37,18:37,18:37,18:37,18:37,18:49,18:49,18:49,18:49,18:49,18:49,19:14,19:14,19:14,19:14,19:14,19:14,19:14,19:05,19:05,19:05,19:05,19:05,19:05,19:13,19:13,19:13,19:13,19:13,19:13,20:13,20:13,20:13,20:13,20:13,19:32
100,Train No.,98766 GN 66,98868 B 68,98868 B 68,98915 PLGN 15,98915 PLGN 15,98915 PLGN 15,98912 GNPL 12,98912 GNPL 12,98912 GNPL 12,98768 GN 68,98768 GN 68,98768 GN 68,98768 GN 68,98768 GN 68,98770 GN 70,98770 GN 70,98770 GN 70,98770 GN 70,98770 GN 70,98770 GN 70,98870 B 70,98870 B 70,98870 B 70,98870 B 70,98870 B 70,98870 B 70,98914 GNPL 14,98914 GNPL 14,98914 GNPL 14,98914 GNPL 14,98914 GNPL 14,98914 GNPL 14,98914 GNPL 14,91396 WGN 6,91396 WGN 6,91396 WGN 6,91396 WGN 6,91396 WGN 6,91396 WGN 6,91396 WGN 6,98772 GN 72,98772 GN 72,98772 GN 72,98772 GN 72,98772 GN 72,98772 GN 72,98917 PLGN 17,98917 PLGN 17,98917 PLGN 17,98917 PLGN 17,98917 PLGN 17,98917 PLGN 17,98917 PLGN 17,98872 B 72,98872 B 72,98872 B 72,98872 B 72,98872 B 72,98872 B 72,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98916 GNPL 16,98774 GN 74,98774 GN 74,98774 GN 74,98874 B 74,98874 B 74,98874 B 74
101,Stations,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,GOREGAON,18:41,,,,,,18:55,18:55,18:55,19:10,19:10,19:10,19:10,19:10,19:27,19:27,19:27,19:27,19:27,19:27,,,,,,,19:40,19:40,19:40,19:40,19:40,19:40,19:40,19:45,19:45,19:45,19:45,19:45,19:45,19:45,19:56,19:56,19:56,19:56,19:56,19:56,,,,,,,,,,,,,,20:12,20:12,20:12,20:12,20:12,20:12,20:12,20:12,20:26,20:26,20:26,,,
103,RAM MANDIR,18:45,,,,,,19:00,19:00,19:00,19:14,19:14,19:14,19:14,19:14,19:31,19:31,19:31,19:31,19:31,19:31,,,,,,,19:44,19:44,19:44,19:44,19:44,19:44,19:44,19:49,19:49,19:49,19:49,19:49,19:49,19:49,20:00,20:00,20:00,20:00,20:00,20:00,,,,,,,,,,,,,,20:17,20:17,20:17,20:17,20:17,20:17,20:17,20:17,20:30,20:30,20:30,,,
104,JOGESWARI,18:48,,,,,,19:03,19:03,19:03,19:17,19:17,19:17,19:17,19:17,19:34,19:34,19:34,19:34,19:34,19:34,,,,,,,19:47,19:47,19:47,19:47,19:47,19:47,19:47,19:52,19:52,19:52,19:52,19:52,19:52,19:52,20:03,20:03,20:03,20:03,20:03,20:03,,,,,,,,,,,,,,20:21,20:21,20:21,20:21,20:21,20:21,20:21,20:21,20:33,20:33,20:33,,,
105,ANDHERI,18:52,,,,,,19:08,19:08,19:08,19:21,19:21,19:21,19:21,19:21,19:38,19:38,19:38,19:38,19:38,19:38,,,,,,,19:51,19:51,19:51,19:51,19:51,19:51,19:51,19:56,19:56,19:56,19:56,19:56,19:56,19:56,20:07,20:07,20:07,20:07,20:07,20:07,,,,,,,,,,,,,,20:26,20:26,20:26,20:26,20:26,20:26,20:26,20:26,20:37,20:37,20:37,,,
106,VILEPARLE,18:56,,,,,,19:12,19:12,19:12,19:25,19:25,19:25,19:25,19:25,19:42,19:42,19:42,19:42,19:42,19:42,,,,,,,19:55,19:55,19:55,19:55,19:55,19:55,19:55,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:11,20:11,20:11,20:11,20:11,20:11,,,,,,,,,,,,,,20:30,20:30,20:30,20:30,20:30,20:30,20:30,20:30,20:41,20:41,20:41,,,
107,SANTACURTZ,18:59,,,,,,19:16,19:16,19:16,19:28,19:28,19:28,19:28,19:28,19:45,19:45,19:45,19:45,19:45,19:45,,,,,,,19:58,19:58,19:58,19:58,19:58,19:58,19:58,20:03,20:03,20:03,20:03,20:03,20:03,20:03,20:14,20:14,20:14,20:14,20:14,20:14,,,,,,,,,,,,,,20:33,20:33,20:33,20:33,20:33,20:33,20:33,20:33,20:44,20:44,20:44,,,
108,KHAR,19:02,,,,,,19:19,19:19,19:19,19:31,19:31,19:31,19:31,19:31,19:49,19:49,19:49,19:49,19:49,19:49,,,,,,,20:01,20:01,20:01,20:01,20:01,20:01,20:01,20:06,20:06,20:06,20:06,20:06,20:06,20:06,20:17,20:17,20:17,20:17,20:17,20:17,,,,,,,,,,,,,,20:36,20:36,20:36,20:36,20:36,20:36,20:36,20:36,20:47,20:47,20:47,,,
109,BANDRA,19:07,19:22,19:22,,,,19:26,19:26,19:26,19:36,19:36,19:36,19:36,19:36,19:54,19:54,19:54,19:54,19:54,19:54,20:02,20:02,20:02,20:02,20:02,20:02,20:06,20:06,20:06,20:06,20:06,20:06,20:06,20:10,20:10,20:10,20:10,20:10,20:10,20:10,20:21,20:21,20:21,20:21,20:21,20:21,,,,,,,,20:33,20:33,20:33,20:33,20:33,20:33,20:42,20:42,20:42,20:42,20:42,20:42,20:42,20:42,20:51,20:51,20:51,20:59,20:59,20:59
110,MAHIM JN.,19:11,19:25,19:25,,,,19:29,19:29,19:29,19:40,19:40,19:40,19:40,19:40,19:57,19:57,19:57,19:57,19:57,19:57,20:05,20:05,20:05,20:05,20:05,20:05,20:09,20:09,20:09,20:09,20:09,20:09,20:09,20:13,20:13,20:13,20:13,20:13,20:13,20:13,20:24,20:24,20:24,20:24,20:24,20:24,,,,,,,,20:37,20:37,20:37,20:37,20:37,20:37,20:46,20:46,20:46,20:46,20:46,20:46,20:46,20:46,20:55,20:55,20:55,21:03,21:03,21:03
111,KING'S CIRCLE,19:14,19:28,19:28,,,,19:32,19:32,19:32,19:44,19:44,19:44,19:44,19:44,20:00,20:00,20:00,20:00,20:00,20:00,20:08,20:08,20:08,20:08,20:08,20:08,20:12,20:12,20:12,20:12,20:12,20:12,20:12,20:16,20:16,20:16,20:16,20:16,20:16,20:16,20:27,20:27,20:27,20:27,20:27,20:27,,,,,,,,20:41,20:41,20:41,20:41,20:41,20:41,20:49,20:49,20:49,20:49,20:49,20:49,20:49,20:49,20:58,20:58,20:58,21:06,21:06,21:06
112,VADALA ROAD,19:21,19:34,19:34,19:35,19:35,19:35,19:38,19:38,19:38,19:50,19:50,19:50,19:50,19:50,20:06,20:06,20:06,20:06,20:06,20:06,20:14,20:14,20:14,20:14,20:14,20:14,20:18,20:18,20:18,20:18,20:18,20:18,20:18,20:21,20:21,20:21,20:21,20:21,20:21,20:21,20:33,20:33,20:33,20:33,20:33,20:33,20:36,20:36,20:36,20:36,20:36,20:36,20:36,20:48,20:48,20:48,20:48,20:48,20:48,20:56,20:56,20:56,20:56,20:56,20:56,20:56,20:56,21:04,21:04,21:04,21:12,21:12,21:12
113,SEWERI,19:24,19:37,19:37,PF 2,PF 2,PF 2,PF 3,PF 3,PF 3,19:53,19:53,19:53,19:53,19:53,20:09,20:09,20:09,20:09,20:09,20:09,20:17,20:17,20:17,20:17,20:17,20:17,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,20:24,20:24,20:24,20:24,20:24,20:24,20:24,20:36,20:36,20:36,20:36,20:36,20:36,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,PF 2,20:51,20:51,20:51,20:51,20:51,20:51,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,PF 3,21:07,21:07,21:07,21:15,21:15,21:15
114,COTTON GREEN,19:27,19:40,19:40,,,,,,,19:56,19:56,19:56,19:56,19:56,20:12,20:12,20:12,20:12,20:12,20:12,20:20,20:20,20:20,20:20,20:20,20:20,,,,,,,,20:27,20:27,20:27,20:27,20:27,20:27,20:27,20:39,20:39,20:39,20:39,20:39,20:39,,,,,,,,20:54,20:54,20:54,20:54,20:54,20:54,,,,,,,,,21:10,21:10,21:10,21:18,21:18,21:18
115,REAY ROAD,19:29,19:42,19:42,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,19:58,19:58,19:58,19:58,19:58,20:14,20:14,20:14,20:14,20:14,20:14,20:22,20:22,20:22,20:22,20:22,20:22,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,20:29,20:29,20:29,20:29,20:29,20:29,20:29,20:41,20:41,20:41,20:41,20:41,20:41,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,20:56,20:56,20:56,20:56,20:56,20:56,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,VDLR,21:12,21:12,21:12,21:20,21:20,21:20
116,DOCK YARD ROAD,19:32,19:45,19:45,DEP,DEP,DEP,DEP,DEP,DEP,20:01,20:01,20:01,20:01,20:01,20:17,20:17,20:17,20:17,20:17,20:17,20:25,20:25,20:25,20:25,20:25,20:25,DEP,DEP,DEP,DEP,DEP,DEP,DEP,20:32,20:32,20:32,20:32,20:32,20:32,20:32,20:44,20:44,20:44,20:44,20:44,20:44,DEP,DEP,DEP,DEP,DEP,DEP,DEP,20:59,20:59,20:59,20:59,20:59,20:59,DEP,DEP,DEP,DEP,DEP,DEP,DEP,DEP,21:15,21:15,21:15,21:23,21:23,21:23
117,SANDHURST ROAD,19:34,19:47,19:47,19:39,19:39,19:39,19:43,19:43,19:43,20:03,20:03,20:03,20:03,20:03,20:19,20:19,20:19,20:19,20:19,20:19,20:27,20:27,20:27,20:27,20:27,20:27,20:26,20:26,20:26,20:26,20:26,20:26,20:26,20:34,20:34,20:34,20:34,20:34,20:34,20:34,20:46,20:46,20:46,20:46,20:46,20:46,20:42,20:42,20:42,20:42,20:42,20:42,20:42,21:01,21:01,21:01,21:01,21:01,21:01,21:03,21:03,21:03,21:03,21:03,21:03,21:03,21:03,21:17,21:17,21:17,21:25,21:25,21:25
118,MASJID,19:36,19:49,19:49,GMN,GMN,GMN,PNVL,PNVL,PNVL,20:05,20:05,20:05,20:05,20:05,20:21,20:21,20:21,20:21,20:21,20:21,20:29,20:29,20:29,20:29,20:29,20:29,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,20:36,20:36,20:36,20:36,20:36,20:36,20:36,20:48,20:48,20:48,20:48,20:48,20:48,GMN,GMN,GMN,GMN,GMN,GMN,GMN,21:03,21:03,21:03,21:03,21:03,21:03,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,PNVL,21:19,21:19,21:19,21:27,21:27,21:27
119,MUMBAI CSMT,19:40,19:52,19:52,20:16,20:16,20:16,20:46,20:46,20:46,20:08,20:08,20:08,20:08,20:08,20:24,20:24,20:24,20:24,20:24,20:24,20:32,20:32,20:32,20:32,20:32,20:32,21:29,21:29,21:29,21:29,21:29,21:29,21:29,20:39,20:39,20:39,20:39,20:39,20:39,20:39,20:51,20:51,20:51,20:51,20:51,20:51,21:20,21:20,21:20,21:20,21:20,21:20,21:20,21:06,21:06,21:06,21:06,21:06,21:06,22:05,22:05,22:05,22:05,22:05,22:05,22:05,22:05,21:22,21:22,21:22,21:30,21:30,21:30
120,Train No.,98776 GN 76,98876 B 76,98876 B 76,98778 GN 78,98778 GN 78,98918 GNPL 18,98918 GNPL 18,98918 GNPL 18,98878 B 78,98878 B 78,98878 B 78,98878 B 78,98780 GN 80,98780 GN 80,98780 GN 80,98780 GN 80,98780 GN 80,98780 GN 80,98880 B 80,98880 B 80,98880 B 80,98880 B 80,98880 B 80,98880 B 80,98782 GN 82,98782 GN 82,98782 GN 82,98782 GN 82,98782 GN 82,98782 GN 82,98882 B 82,98882 B 82,98882 B 82,98882 B 82,98882 B 82,98784 GN 84,98784 GN 84,98784 GN 84,98784 GN 84,98784 GN 84,98784 GN 84,98884 B 84,98884 B 84,98884 B 84,98884 B 84,98884 B 84,98884 B 84,98786 GN 86,98786 GN 86,98786 GN 86,98786 GN 86,98786 GN 86,98886 B 86,98886 B 86,98886 B 86,98886 B 86,98886 B 86,98886 B 86,98788 GN 88,98788 GN 88,98788 GN 88,98788 GN 88,98788 GN 88,98788 GN 88,,,,,,,,,
121,Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,GOREGAON,20:51,,,21:15,21:15,21:28,21:28,21:28,,,,,21:43,21:43,21:43,21:43,21:43,21:43,,,,,,,22:15,22:15,22:15,22:15,22:15,22:15,,,,,,22:40,22:40,22:40,22:40,22:40,22:40,,,,,,,23:06,23:06,23:06,23:06,23:06,,,,,,,23:33,23:33,23:33,23:33,23:33,23:33,,,,,,,,,
123,RAM MANDIR,20:55,,,21:19,21:19,21:32,21:32,21:32,,,,,21:47,21:47,21:47,21:47,21:47,21:47,,,,,,,22:19,22:19,22:19,22:19,22:19,22:19,,,,,,22:44,22:44,22:44,22:44,22:44,22:44,,,,,,,23:10,23:10,23:10,23:10,23:10,,,,,,,23:37,23:37,23:37,23:37,23:37,23:37,,,,,,,,,
124,JOGESWARI,20:58,,,21:22,21:22,21:35,21:35,21:35,,,,,21:50,21:50,21:50,21:50,21:50,21:50,,,,,,,22:22,22:22,22:22,22:22,22:22,22:22,,,,,,22:47,22:47,22:47,22:47,22:47,22:47,,,,,,,23:13,23:13,23:13,23:13,23:13,,,,,,,23:40,23:40,23:40,23:40,23:40,23:40,,,,,,,,,
125,ANDHERI,21:02,,,21:26,21:26,21:39,21:39,21:39,,,,,21:54,21:54,21:54,21:54,21:54,21:54,,,,,,,22:26,22:26,22:26,22:26,22:26,22:26,,,,,,22:51,22:51,22:51,22:51,22:51,22:51,,,,,,,23:17,23:17,23:17,23:17,23:17,,,,,,,23:44,23:44,23:44,23:44,23:44,23:44,,,,,,,,,
126,VILEPARLE,21:06,,,21:30,21:30,21:43,21:43,21:43,,,,,21:58,21:58,21:58,21:58,21:58,21:58,,,,,,,22:30,22:30,22:30,22:30,22:30,22:30,,,,,,22:55,22:55,22:55,22:55,22:55,22:55,,,,,,,23:21,23:21,23:21,23:21,23:21,,,,,,,23:48,23:48,23:48,23:48,23:48,23:48,,,,,,,,,
127,SANTACURTZ,21:09,,,21:33,21:33,21:46,21:46,21:46,,,,,22:01,22:01,22:01,22:01,22:01,22:01,,,,,,,22:33,22:33,22:33,22:33,22:33,22:33,,,,,,22:58,22:58,22:58,22:58,22:58,22:58,,,,,,,23:24,23:24,23:24,23:24,23:24,,,,,,,23:51,23:51,23:51,23:51,23:51,23:51,,,,,,,,,
128,KHAR,21:12,,,21:36,21:36,21:50,21:50,21:50,,,,,22:04,22:04,22:04,22:04,22:04,22:04,,,,,,,22:36,22:36,22:36,22:36,22:36,22:36,,,,,,23:01,23:01,23:01,23:01,23:01,23:01,,,,,,,23:27,23:27,23:27,23:27,23:27,,,,,,,23:54,23:54,23:54,23:54,23:54,23:54,,,,,,,,,
129,BANDRA,21:16,21:31,21:31,21:40,21:40,21:56,21:56,21:56,22:00,22:00,22:00,22:00,22:08,22:08,22:08,22:08,22:08,22:08,22:24,22:24,22:24,22:24,22:24,22:24,22:40,22:40,22:40,22:40,22:40,22:40,22:49,22:49,22:49,22:49,22:49,23:05,23:05,23:05,23:05,23:05,23:05,23:16,23:16,23:16,23:16,23:16,23:16,23:31,23:31,23:31,23:31,23:31,23:42,23:42,23:42,23:42,23:42,23:42,23:58,23:58,23:58,23:58,23:58,23:58,,,,,,,,,
130,MAHIM JN.,21:19,21:35,21:35,21:43,21:43,22:00,22:00,22:00,22:03,22:03,22:03,22:03,22:11,22:11,22:11,22:11,22:11,22:11,22:27,22:27,22:27,22:27,22:27,22:27,22:43,22:43,22:43,22:43,22:43,22:43,22:53,22:53,22:53,22:53,22:53,23:08,23:08,23:08,23:08,23:08,23:08,23:20,23:20,23:20,23:20,23:20,23:20,23:34,23:34,23:34,23:34,23:34,23:46,23:46,23:46,23:46,23:46,23:46,0:01,0:01,0:01,0:01,0:01,0:01,,,,,,,,,
131,KING'S CIRCLE,21:22,21:38,21:38,21:46,21:46,22:03,22:03,22:03,22:06,22:06,22:06,22:06,22:14,22:14,22:14,22:14,22:14,22:14,22:30,22:30,22:30,22:30,22:30,22:30,22:46,22:46,22:46,22:46,22:46,22:46,22:56,22:56,22:56,22:56,22:56,23:11,23:11,23:11,23:11,23:11,23:11,23:23,23:23,23:23,23:23,23:23,23:23,23:37,23:37,23:37,23:37,23:37,23:49,23:49,23:49,23:49,23:49,23:49,0:04,0:04,0:04,0:04,0:04,0:04,,,,,,,,,
132,VADALA ROAD,21:28,21:45,21:45,21:52,21:52,22:11,22:11,22:11,22:12,22:12,22:12,22:12,22:20,22:20,22:20,22:20,22:20,22:20,22:36,22:36,22:36,22:36,22:36,22:36,22:52,22:52,22:52,22:52,22:52,22:52,23:02,23:02,23:02,23:02,23:02,23:17,23:17,23:17,23:17,23:17,23:17,23:29,23:29,23:29,23:29,23:29,23:29,23:43,23:43,23:43,23:43,23:43,23:55,23:55,23:55,23:55,23:55,23:55,0:10,0:10,0:10,0:10,0:10,0:10,,,,,,,,,
133,SEWERI,21:31,21:48,21:48,21:55,21:55,PF 3,PF 3,PF 3,22:15,22:15,22:15,22:15,22:23,22:23,22:23,22:23,22:23,22:23,22:39,22:39,22:39,22:39,22:39,22:39,22:55,22:55,22:55,22:55,22:55,22:55,23:05,23:05,23:05,23:05,23:05,23:20,23:20,23:20,23:20,23:20,23:20,23:32,23:32,23:32,23:32,23:32,23:32,23:46,23:46,23:46,23:46,23:46,23:58,23:58,23:58,23:58,23:58,23:58,0:13,0:13,0:13,0:13,0:13,0:13,,,,,,,,,
134,COTTON GREEN,21:34,21:51,21:51,21:58,21:58,,,,22:18,22:18,22:18,22:18,22:26,22:26,22:26,22:26,22:26,22:26,22:42,22:42,22:42,22:42,22:42,22:42,22:58,22:58,22:58,22:58,22:58,22:58,23:08,23:08,23:08,23:08,23:08,23:23,23:23,23:23,23:23,23:23,23:23,23:35,23:35,23:35,23:35,23:35,23:35,23:49,23:49,23:49,23:49,23:49,0:01,0:01,0:01,0:01,0:01,0:01,0:16,0:16,0:16,0:16,0:16,0:16,,,,,,,,,
135,REAY ROAD,21:36,21:53,21:53,22:00,22:00,VDLR,VDLR,VDLR,22:20,22:20,22:20,22:20,22:28,22:28,22:28,22:28,22:28,22:28,22:44,22:44,22:44,22:44,22:44,22:44,23:00,23:00,23:00,23:00,23:00,23:00,23:10,23:10,23:10,23:10,23:10,23:25,23:25,23:25,23:25,23:25,23:25,23:37,23:37,23:37,23:37,23:37,23:37,23:51,23:51,23:51,23:51,23:51,0:03,0:03,0:03,0:03,0:03,0:03,0:18,0:18,0:18,0:18,0:18,0:18,,,,,,,,,
136,DOCK YARD ROAD,21:39,21:56,21:56,22:03,22:03,DEP,DEP,DEP,22:23,22:23,22:23,22:23,22:31,22:31,22:31,22:31,22:31,22:31,22:47,22:47,22:47,22:47,22:47,22:47,23:03,23:03,23:03,23:03,23:03,23:03,23:13,23:13,23:13,23:13,23:13,23:28,23:28,23:28,23:28,23:28,23:28,23:40,23:40,23:40,23:40,23:40,23:40,23:54,23:54,23:54,23:54,23:54,0:06,0:06,0:06,0:06,0:06,0:06,0:21,0:21,0:21,0:21,0:21,0:21,,,,,,,,,
137,SANDHURST ROAD,21:41,21:58,21:58,22:05,22:05,22:20,22:20,22:20,22:25,22:25,22:25,22:25,22:33,22:33,22:33,22:33,22:33,22:33,22:49,22:49,22:49,22:49,22:49,22:49,23:05,23:05,23:05,23:05,23:05,23:05,23:15,23:15,23:15,23:15,23:15,23:30,23:30,23:30,23:30,23:30,23:30,23:42,23:42,23:42,23:42,23:42,23:42,23:56,23:56,23:56,23:56,23:56,0:08,0:08,0:08,0:08,0:08,0:08,0:23,0:23,0:23,0:23,0:23,0:23,,,,,,,,,
138,MASJID,21:43,22:00,22:00,22:07,22:07,PNVL,PNVL,PNVL,22:27,22:27,22:27,22:27,22:35,22:35,22:35,22:35,22:35,22:35,22:51,22:51,22:51,22:51,22:51,22:51,23:07,23:07,23:07,23:07,23:07,23:07,23:17,23:17,23:17,23:17,23:17,23:32,23:32,23:32,23:32,23:32,23:32,23:44,23:44,23:44,23:44,23:44,23:44,23:58,23:58,23:58,23:58,23:58,0:10,0:10,0:10,0:10,0:10,0:10,0:25,0:25,0:25,0:25,0:25,0:25,,,,,,,,,
139,MUMBAI CSMT,21:46,22:03,22:03,22:10,22:10,23:22,23:22,23:22,22:30,22:30,22:30,22:30,22:38,22:38,22:38,22:38,22:38,22:38,22:54,22:54,22:54,22:54,22:54,22:54,23:10,23:10,23:10,23:10,23:10,23:10,23:20,23:20,23:20,23:20,23:20,23:35,23:35,23:35,23:35,23:35,23:35,23:47,23:47,23:47,23:47,23:47,23:47,0:01,0:01,0:01,0:01,0:01,0:13,0:13,0:13,0:13,0:13,0:13,0:28,0:28,0:28,0:28,0:28,0:28,X Not on Sun & Holidays,,,,,,,,
