,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
169,Jogeshwari,,,,,,07:32,,
170,Ramnagar,,,,,,07:35,,
171,Goregaon,,,,,,07:39,,
172,GTB Nagar,06:51,06:55,,,07:03,,07:10,
173,Chunabhatti,06:54,06:58,,,07:06,,07:13,
174,Kurla,06:57,07:01,,,07:09,,07:16,
175,Tilaknagar,07:00,07:04,,,07:12,,07:19,
176,Chembur,07:02,07:06,,,07:14,,07:21,
177,Govandi,07:05,07:09,,,07:17,,07:24,
178,Mankhurd,07:08,07:12,,,07:20,,07:27,
179,Vashi,07:17,07:21,,,07:29,,07:36,
180,Sanpada,07:19,07:23,,,07:31,,07:38,
181,Juinagar,07:22,07:26,,,07:34,,07:41,
182,Nerul,07:26,07:30,,07:34,07:38,,07:45,
183,Seawood Darave,07:29,07:33,,07:38,07:42,,07:50,
184,Belapur CBD,07:33,07:37,,07:42,07:46,,07:56,
185,Kharghar,07:37,,,07:46,07:50,,,
186,Mansarovar,07:40,,,07:49,07:53,,,
187,Khandeshwar,07:43,,,07:52,07:56,,,
188,Panvel,07:48,,,07:57,08:01,,,
