,STATIONS UP TRAINS,Virar 92012 15 CAR,Borivali 94104 12 CAR,Borivali 94106 12 CAR,Borivali 94106 12 CAR.1,Virar 94108 12 CAR,Virar 94108 12 CAR.1,Andheri 94110 12 CAR,Goregoan 94112 12 CAR,Goregoan 94112 12 CAR.1,Virar 92014 15 CAR,Virar 92014 15 CAR.1,Borivali 94114 12 CAR,Borivali 94114 12 CAR.1,Virar 90098 12 CAR,Virar 90098 12 CAR.1,Borivali 90100 12 CAR,Borivali 90100 12 CAR.1,Borivali 90100 12 CAR.2,Vasai Road 90102 12 CAR,Vasai Road 90102 12 CAR.1,Vasai Road 90102 12 CAR.2,Dahanu Road 93002 12 CAR,Dahanu Road 93002 12 CAR.1,Dahanu Road 93002 12 CAR.2,Borivali 90104 12 CAR,Borivali 90104 12 CAR.1,Borivali 90104 12 CAR.2,Virar 94006 12 CAR,Virar 94006 12 CAR.1,Virar 94006 12 CAR.2
32,VASAI ROAD,,,,,,06:05,,,,06:08,06:08,06:12,06:12,06:14,06:14,06:22,06:22,,,,,,,,,,06:28,06:28,06:28,
33,Naigaon,,,,,,06:10,,,,06:13,06:13,,,06:18,06:18,06:26,06:26,,,,,,,,,,06:33,06:33,06:33,
34,BHAYANDAR,06:12,,,,,06:16,,,,06:19,06:19,06:20,06:20,06:24,06:24,06:32,06:32,,,,,,,,,,06:39,06:39,06:39,
35,Mira Road,06:18,,,,,06:22,,,,06:25,06:25,,,06:29,06:29,06:37,06:37,,,,,,,,,,06:44,06:44,06:44,
36,Dahisar,06:22,,,,,06:26,,,,06:29,06:29,,,06:33,06:33,06:41,06:41,,,,,,,,,,06:48,06:48,06:48,
37,BORIVALI,06:26,06:26,06:30,06:30,06:30,06:31,06:36,06:36,06:40,06:35,06:35,06:30,06:30,06:38,06:38,06:46,06:46,06:44,06:44,06:44,06:47,06:47,06:47,06:50,06:50,06:50,06:53,06:53,06:53,
38,Kandivali,06:31,06:34,06:38,06:38,06:38,,06:42,06:42,06:46,,,,,,,,,06:49,06:49,06:49,06:52,06:52,06:52,06:55,06:55,06:55,,,,
39,Malad,06:34,06:37,06:41,06:41,06:41,,06:45,06:45,06:49,,,,,,,,,06:52,06:52,06:52,06:55,06:55,06:55,06:58,06:58,06:58,,,,
40,Goregaon,06:37,06:40,06:44,06:44,06:44,,06:48,06:48,06:52,,,,,,,,,06:55,06:55,06:55,06:58,06:58,06:58,07:01,07:01,07:01,,,,
41,Ram Mandir,06:39,06:42,06:46,06:46,06:46,,--,--,06:54,,,,,,,,,06:57,06:57,06:57,07:00,07:00,07:00,07:03,07:03,07:03,,,,
