,STATIONS UP TRAINS,ADH 90558 12 CAR,VR 90560 12 CAR,VR 90560 12 CAR.1,VR 90562 12 CAR,VR 90562 12 CAR.1,BVI 90564 12 CAR,BVI 90564 12 CAR.1,DRD 93020 12 CAR,DRD 93020 12 CAR.1,GMN 90566 12 CAR,GMN 90566 12 CAR.1,GMN 90566 12 CAR.2,BSR 90568 12 CAR,BSR 90568 12 CAR.1,BSR 90568 12 CAR.2,VR 92114 15 CAR,VR 92114 15 CAR.1,BVI 90570 12 CAR,BVI 90570 12 CAR.1,VR 90572 12 CAR,VR 90572 12 CAR.1,VR 90572A 12 CAR,VR 90572A 12 CAR.1,BVI 90574 12 CAR,BVI 90574 12 CAR.1,VR 92116 15 CAR,VR 92116 15 CAR.1,BVI 90576 12 CAR,BVI 90576 12 CAR.1,Unnamed: 30
70,Goregaon,,,16:00,16:00,,,16:03,16:03,16:06,16:06,,,,16:06,16:06,16:06,16:10,16:10,Condition,Condition,,,16:13,16:13,16:14,16:14,16:16,16:16,,
71,Ram Mandir,,,16:02,16:02,,,16:05,16:05,16:08,16:08,,,,16:09,16:09,16:09,16:12,16:12,,,,,16:15,16:15,16:17,16:17,16:18,16:18,,
72,Jogeshwari,,,16:05,16:05,,,16:08,16:08,16:11,16:11,,,,16:12,16:12,16:12,16:15,16:15,,,,,16:18,16:18,16:20,16:20,16:21,16:21,,
73,ANDHERI,16:04,16:04,16:10,16:10,16:09,16:09,16:14,16:14,16:16,16:16,,,,16:17,16:17,16:17,16:19,16:19,16:13,16:13,16:19,16:19,16:24,16:24,16:24,16:24,16:26,16:26,16:26,16:26
74,Vile Parle,,,16:13,16:13,,,,,16:19,16:19,,,,16:22,16:22,16:22,16:22,16:22,ON SAT,ON SAT,,,16:28,16:28,16:27,16:27,16:30,16:30,,
75,Santa Cruz,,,16:16,16:16,,,,,16:22,16:22,,,,16:25,16:25,16:25,16:25,16:25,& SUN,& SUN,,,16:31,16:31,16:30,16:30,16:33,16:33,,
76,Khar Road,,,16:19,16:19,,,,,16:25,16:25,,,,16:28,16:28,16:28,16:28,16:28,NON AC,NON AC,,,16:34,16:34,16:33,16:33,16:36,16:36,,
77,BANDRA,16:14,16:14,16:23,16:23,16:19,16:19,,,16:29,16:29,,,,16:32,16:32,16:32,16:35,16:35,16:23,16:23,16:28,16:28,16:41,16:41,16:38,16:38,16:43,16:43,,
78,Mahim Jn.,,,16:26,16:26,,,,,16:32,16:32,,,,16:35,16:35,16:35,16:38,16:38,,,,,16:44,16:44,16:41,16:41,16:46,16:46,,
79,Matunga Road,,,16:29,16:29,,,,,16:35,16:35,,,,16:38,16:38,16:38,16:41,16:41,,,,,16:47,16:47,16:44,16:44,16:49,16:49,,
80,DADAR,16:20,16:20,16:33,16:33,16:24,16:24,,,16:39,16:39,,,,16:42,16:42,16:42,16:45,16:45,16:29,16:29,16:34,16:34,16:51,16:51,16:48,16:48,16:53,16:53,,
81,Prabhadevi,,,16:35,16:35,,,,,16:41,16:41,,,,16:44,16:44,16:44,16:47,16:47,,,,,16:53,16:53,16:50,16:50,16:55,16:55,,
82,Lower Parel,,,16:38,16:38,,,,,16:44,16:44,,,,16:47,16:47,16:47,16:50,16:50,,,,,16:56,16:56,16:53,16:53,16:58,16:58,,
83,Mahalakshmi,,,16:41,16:41,,,,,16:47,16:47,,,,16:50,16:50,16:50,16:53,16:53,,,,,16:59,16:59,16:56,16:56,17:01,17:01,,
84,M'BAI CENTRAL(L,16:27,16:27,16:44,16:44,16:31,16:31,,,16:50,16:50,,,,16:53,16:53,16:53,16:56,16:56,16:36,16:36,16:41,16:41,17:02,17:02,16:59,16:59,17:04,17:04,,
85,Grant Road,16:29,16:29,16:46,16:46,16:33,16:33,,,16:52,16:52,,,,16:55,16:55,16:55,16:58,16:58,16:38,16:38,16:43,16:43,17:04,17:04,17:01,17:01,17:06,17:06,,
86,Charni Road,16:31,16:31,16:48,16:48,16:35,16:35,,,16:54,16:54,,,,16:57,16:57,16:57,17:00,17:00,16:40,16:40,16:45,16:45,17:06,17:06,17:03,17:03,17:08,17:08,,
87,Marine Lines,16:34,16:34,16:51,16:51,16:38,16:38,,,16:57,16:57,,,,17:00,17:00,17:00,17:03,17:03,16:43,16:43,16:48,16:48,17:09,17:09,17:06,17:06,17:11,17:11,,
88,CHURCHGATE,16:38,16:38,16:56,16:56,16:43,16:43,,,17:00,17:00,,,,17:03,17:03,17:03,17:07,17:07,16:47,16:47,16:51,16:51,17:13,17:13,17:10,17:10,17:16,17:16,,
