,STATIONS DN TRAINS,BVI 90753 12 CAR,VR 92161 12 CAR,BVI 90755 12 CAR,VR 94061 12 CAR,VR 94061 12 CAR.1,BVI 90759 12 CAR,BVI 90759 12 CAR.1,BVI 90761 12 CAR,BVI 90761 12 CAR.1,NSP 92163 15 CAR,NSP 92163 15 CAR.1,BVI 90763 12 CAR,BVI 90763 12 CAR.1,BVI 90765 12 CAR,BVI 90765 12 CAR.1,BA 90767 12 CAR,BA 90767 12 CAR.1,BYR 90769 12 CAR,BYR 90769 12 CAR.1,VR 92165 15 CAR,VR 92165 15 CAR.1,BYR 90771 12 CAR,BYR 90771 12 CAR.1,BVI 90773 12 CAR,BVI 90773 12 CAR.1,Unnamed: 26
46,Jogeshwari,19:38,,19:41,19:41,,,19:46,19:46,,,,,19:49,19:49,,,,,19:55,19:55,,,,,,
47,Ram Mandir,19:41,,19:44,19:44,,,19:49,19:49,,,ON SAT,ON SAT,19:52,19:52,,,,,19:58,19:58,,,,,,
48,Goregaon,19:43,,19:46,19:46,,,19:53,19:53,,,& SUN,& SUN,19:54,19:54,,,,,20:01,20:01,,,,,,
49,Malad,19:47,,19:50,19:50,,,,,,,NON AC,NON AC,19:58,19:58,,,,,20:05,20:05,,,,,,
50,Kandivli,19:50,,19:53,19:53,,,,,,,,,20:01,20:01,,,,,20:08,20:08,,,,,,
51,BORIVALI,19:57,19:33,19:59,19:59,19:37,19:37,,,,,19:43,19:43,20:07,20:07,,,19:51,19:51,20:15,20:15,19:55,19:55,19:59,19:59,,
52,Dahisar,NOT ON,19:37,20:04,20:04,19:41,19:41,,,,,19:49,19:49,,,,,19:55,19:55,,,19:59,19:59,,,,
53,Mira Road,SUN,19:42,20:09,20:09,19:46,19:46,,,,,19:54,19:54,,,,,20:00,20:00,,,20:04,20:04,,,,
54,Bhayandar,ONLY,19:48,20:14,20:14,19:51,19:51,,,,,19:59,19:59,,,,,20:05,20:05,,,20:09,20:09,,,,
55,Naigaon,,19:53,20:20,20:20,19:57,19:57,,,,,20:05,20:05,,,,,20:10,20:10,,,20:15,20:15,,,,
56,Vasai Road,,20:00,20:25,20:25,20:04,20:04,,,,,20:12,20:12,,,,,20:15,20:15,,,20:19,20:19,,,,
57,Nalla Sopara,,20:06,20:32,20:32,20:10,20:10,,,,,,,,,,,20:20,20:20,,,20:24,20:24,,,,
58,VIRAR,,20:15,20:40,20:40,20:19,20:19,,,,,,,,,,,20:27,20:27,,,20:32,20:32,,,,
59,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen,*Ladies spl On Sun Gen
