Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Khardi,,,,,,,,,,,,,12:36,
Atgaon,,,,,,,,,,,,,12:46,
Asangaon,,,,,,,,,,,,,12:56,
Vasind,,,,,,,,,,,,,13:02,
Khadavli,,,,,,,,,,,,,13:09,
Titwala,,,,12:21,,,,,,12:44,,,13:16,12:58
Ambivli,,,,12:29,,,,,,12:52,,,13:22,13:06
Shahad,,,,12:32,,,,,,12:55,,,13:25,13:09
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,12:00,,,,,12:23,,,,,,,
Bhivpuri Road,,12:09,,,,,12:32,,,,,,,
Neral,,12:16,,,,,12:39,,,,,,,
Shelu,,12:20,,,,,12:43,,,,,,,
Vangani,,12:24,,,,,12:47,,,,,,,
Badlapur,,12:32,,,,,12:55,,,,,,,
Ambernath,,12:39,12:19,,,,13:02,,,,12:50,,,
Ulhas Nagar,,12:43,12:24,,,,13:06,,,,12:55,,,
Vithalwadi,,12:46,12:27,,,,13:09,,,,12:58,,,
Kalyan,,12:52,12:32,12:37,12:40,,13:16,12:53,,13:00,13:04,13:09,13:32,13:14
Thakurli,,…,12:37,12:42,12:46,,,12:59,,13:06,13:10,13:14,,13:19
Dombivli,,12:59,12:40,12:45,12:49,12:56,13:22,13:02,,13:09,13:13,13:17,13:38,13:22
Kopar,,…,12:43,12:48,12:52,13:00,…,13:05,,13:12,13:16,13:20,…,13:25
Diva,,13:04,12:48,12:53,12:57,13:05,13:27,13:10,,13:17,13:21,13:25,13:43,13:30
Mumbra,,…,12:52,12:57,13:01,13:09,…,13:14,,13:21,13:25,13:29,…,13:34
Kalva,,…,12:58,13:03,13:07,13:15,…,13:20,,13:27,13:31,13:35,…,13:40
Thane,12:56,13:16,13:03,13:08,13:12,13:20,13:38,13:25,13:28,13:32,13:36,13:40,13:55,13:45
Mulund,13:02,13:20,13:07,13:12,13:16,13:24,...,13:29,13:33,13:37,13:41,,...,13:49
Nahur,13:05,...,13:10,13:15,13:19,13:27,...,13:32,13:36,13:40,13:44,,...,13:52
Bhandup,13:08,...,13:13,13:18,13:22,13:30,...,13:35,13:39,13:43,13:47,,...,13:55
Kanjur Marg,13:11,...,13:16,13:21,13:25,13:33,...,13:38,13:42,13:46,13:50,,...,13:58
Vikhroli,13:14,...,13:19,13:24,13:28,13:36,...,13:41,13:45,13:49,13:53,,...,14:01
Ghatkopar,13:18,13:32,13:23,13:28,13:32,13:40,13:53,13:45,13:49,13:53,13:57,,14:11,14:05
Vidyavihar,13:21,...,13:26,13:31,13:35,13:43,...,13:48,13:52,13:56,14:00,,...,14:08
Kurla,13:24,13:36,13:29,13:34,13:38,13:46,13:57,13:51,13:55,13:59,14:03,,14:15,14:11
Sion,13:28,...,13:33,13:38,13:42,13:50,...,13:55,13:59,14:03,14:07,,...,14:15
Matunga,13:31,...,13:36,13:41,13:45,13:53,...,13:58,14:02,14:06,14:10,,...,14:18
Dadar,13:35,13:44,13:40,13:45,13:49,13:57,14:05,14:02,14:06,14:10,14:14,,14:23,14:22
Parel,13:38,…,13:43,13:48,13:52,14:00,…,14:05,14:09,14:13,14:17,,…,14:25
Currey Road,13:41,…,13:46,13:51,13:55,14:03,…,14:08,14:12,14:16,14:20,,…,14:28
Chinchpokli,13:43,…,13:48,13:53,13:57,14:05,…,14:10,14:14,14:18,14:22,,…,14:30
Byculla,13:45,13:50,13:50,13:55,13:59,14:07,14:11,14:12,14:16,14:20,14:24,,14:29,14:32
Sandhurst Road,13:48,…,13:53,13:58,14:02,14:10,…,14:15,14:19,14:23,14:27,,…,14:35
Masjid,13:51,…,13:56,14:01,14:05,14:13,…,14:18,14:22,14:26,14:30,,…,14:38
CSMT,13:54,13:59,13:59,14:04,14:08,14:16,14:20,14:21,14:25,14:29,14:33,TNA,14:38,14:41
Train No,97068,95730,95216,97224,95126,96012,97070,97374,96636,97226,95732,95218,97072,96322
Train Code,CK 4,K 62 X,BL 34,DL 26,S 32,SKP 12,K 60,T 84 X,TL 38,PDL 4,K 68 15 C X,BL 36 AC X,K 64,A 40
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,,,,,,13:20,,,,,
Ambivli,,,,,,,,,13:28,,,,,
Shahad,,,,,,,,,13:31,,,,,
Khopoli,,,,,,12:40,,,,,,,,
Lowjee,,,,,,12:44,,,,,,,,
Dolavli,,,,,,12:48,,,,,,,,
Kelavli,,,,,,12:51,,,,,,,,
Palasdhari,,,,,,12:58,,,,,,,,
Karjat,,,,,13:00,13:05,,,,,,,,
Bhivpuri Road,,,,,13:09,,,,,,,,,
Neral,,,,,13:16,,,,,,,,,
Shelu,,,,,13:20,,,,,,,,,
Vangani,,,,,13:24,,,,,,,,,
Badlapur,,,13:22,,13:32,,,,,,,13:48,,
Ambernath,,,13:31,,13:39,,,,,,,13:56,,13:35
Ulhas Nagar,,,13:35,,13:44,,,,,,,14:00,,13:40
Vithalwadi,,,13:38,,13:47,,,,,,,14:03,,13:43
Kalyan,13:19,13:36,13:44,,13:53,,13:28,,13:36,,14:02,14:09,13:43,13:48
Thakurli,13:25,,,,,,13:34,,13:42,,…,,13:49,13:54
Dombivli,13:28,13:42,13:51,13:32,14:00,,13:37,,13:45,13:48,14:10,14:15,13:52,13:57
Kopar,13:31,…,…,13:36,…,,13:40,,13:48,13:52,…,…,13:56,14:00
Diva,13:36,…,13:56,13:41,…,,13:45,,13:53,13:57,…,…,14:01,14:05
Mumbra,13:40,…,…,13:45,…,,13:49,,13:57,14:01,…,…,14:05,14:09
Kalva,13:46,…,…,13:51,…,,13:55,,14:03,14:07,…,…,14:11,14:15
Thane,13:51,13:58,14:07,13:56,14:15,,14:00,14:03,14:08,14:12,14:25,14:30,14:16,14:20
Mulund,13:55,...,14:11,14:00,...,,14:04,14:09,14:13,14:17,...,...,14:21,14:25
Nahur,13:58,...,...,14:03,...,,14:07,14:12,14:16,14:20,...,...,14:24,14:28
Bhandup,14:01,...,...,14:06,...,,14:10,14:15,14:19,14:23,...,...,14:27,14:31
Kanjur Marg,14:04,...,...,14:09,...,,14:13,14:18,14:22,14:26,...,...,14:30,14:34
Vikhroli,14:07,...,...,14:12,...,,14:16,14:21,14:25,14:29,...,...,14:33,14:37
Ghatkopar,14:11,14:14,14:23,14:16,14:29,,14:20,14:25,14:29,14:33,14:40,14:46,14:37,14:41
Vidyavihar,14:14,...,...,14:19,...,,14:23,14:28,14:32,14:36,...,...,14:40,14:44
Kurla,14:17,14:18,14:27,14:22,14:33,,14:26,14:31,14:35,14:39,14:44,14:51,14:43,14:47
Sion,CLA,...,...,14:26,...,,14:30,14:35,14:39,14:43,...,...,14:47,14:51
Matunga,,...,...,14:29,...,,14:33,14:38,14:42,14:46,...,...,14:50,14:54
Dadar,,14:26,14:35,14:33,14:41,,14:37,14:42,14:46,14:50,14:52,14:59,14:54,14:58
Parel,,…,…,14:36,…,,14:40,14:45,14:49,14:53,…,…,14:57,15:01
Currey Road,,…,…,14:39,…,,14:43,14:48,14:52,PR,…,…,15:00,15:04
Chinchpokli,,…,…,14:41,…,,14:45,14:50,14:54,,…,…,15:02,15:06
Byculla,,14:32,14:40,14:43,14:47,,14:47,14:52,14:56,,14:58,15:05,15:04,15:08
Sandhurst Road,,…,…,14:46,…,,14:50,14:55,14:59,,…,…,15:07,15:11
Masjid,,…,…,14:49,…,,14:53,14:58,15:02,,…,…,15:10,15:14
CSMT,CLA,14:41,14:49,14:52,14:55,,14:57,15:01,15:05,,15:08,15:14,15:13,15:17
Train No,97376,96514,97074,97228,97076,95220,96638,95320,97078,95914,96324,95416,97378,96108
Train Code,T 86 AC X,TAN 4,K 66,DL 28,PK 14,BL 38,TL 40,A 44,K 70 X,T 88 AC X,A 42,N 20,PT 2,TS 2
Kasara,,,,,,,,,,,,13:31,,
Khardi,,,,,,,,,,,,13:48,,
Atgaon,,,,,,,,,,,,13:58,,
Asangaon,,13:16,,,,,,,,,,14:08,,
Vasind,,13:24,,,,,,,,,,14:14,,
Khadavli,,13:31,,,,,,,,,,14:21,,
Titwala,,13:38,,,,,13:51,,,,,14:28,,
Ambivli,,13:44,,,,,13:59,,,,,14:34,,
Shahad,,13:47,,,,,14:02,,,,,14:37,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,13:27
Bhivpuri Road,,,,,,,,,,,,,,13:36
Neral,,,,,,,,,,,,,,13:43
Shelu,,,,,,,,,,,,,,13:47
Vangani,,,,,,,,,,,,,,13:51
Badlapur,,,,,,14:11,,,,,,,,13:59
Ambernath,,,,,,14:19,,14:24,,,14:00,,,14:06
Ulhas Nagar,,,,,,14:23,,14:29,,,14:05,,,14:10
Vithalwadi,,,,,,14:26,,14:32,,,14:08,,,14:13
Kalyan,,13:52,13:55,,14:04,14:31,14:08,14:37,14:11,,14:15,14:44,,14:20
Thakurli,,13:58,14:01,,14:10,,14:13,,14:17,,14:23,,,14:27
Dombivli,,14:01,14:04,14:08,14:13,14:37,14:16,14:44,14:20,,14:26,14:51,,14:30
Kopar,,14:04,14:07,14:12,14:16,…,14:19,…,14:23,,14:29,…,,14:33
Diva,,14:09,14:12,14:17,14:21,…,14:24,14:49,14:28,,14:34,14:56,,14:38
Mumbra,,14:13,14:16,14:21,14:25,…,14:28,…,14:32,,14:38,…,,14:42
Kalva,,14:19,14:22,14:27,14:31,…,14:34,…,14:38,,14:44,…,,14:48
Thane,14:22,14:24,14:28,14:32,14:36,14:52,14:39,15:00,14:43,15:03,14:49,15:08,14:52,14:53
Mulund,14:28,,14:32,14:37,14:41,14:56,14:44,...,14:48,...,14:54,...,14:58,
Nahur,14:31,,14:35,14:40,14:44,...,14:47,...,14:51,...,14:57,...,15:01,
Bhandup,14:34,,14:38,14:43,14:47,...,14:50,...,14:54,...,15:00,...,15:04,
Kanjur Marg,14:37,,14:41,14:46,14:50,...,14:53,...,14:57,...,15:03,...,15:07,
Vikhroli,14:40,,14:44,14:49,14:53,...,14:56,...,15:00,...,15:06,...,15:10,
Ghatkopar,14:44,,14:48,14:53,14:57,15:08,15:00,15:15,15:04,15:19,15:10,15:23,15:14,
Vidyavihar,14:47,,14:51,14:56,15:00,...,15:03,...,15:07,...,15:13,...,15:17,
Kurla,14:50,,14:54,14:59,15:03,15:12,15:06,15:19,15:10,15:23,15:16,15:27,15:20,
Sion,14:54,,14:58,15:03,15:07,...,15:10,...,15:14,...,15:20,...,15:24,
Matunga,14:57,,15:01,15:06,15:10,...,15:13,...,15:17,...,15:23,...,15:27,
Dadar,15:01,,15:05,15:10,15:14,15:20,15:17,15:27,15:21,15:31,15:27,15:35,15:31,
Parel,15:04,,15:08,15:13,15:17,…,15:20,…,15:24,…,15:30,…,15:34,
Currey Road,15:07,,15:11,15:16,PR,…,15:23,…,15:27,…,15:33,…,PR,
Chinchpokli,15:09,,15:13,15:18,,…,15:25,…,15:29,…,15:35,…,,
Byculla,15:11,,15:15,15:20,,15:26,15:27,15:33,15:31,15:37,15:37,15:41,,
Sandhurst Road,15:14,,15:18,15:23,,…,15:30,…,15:34,…,15:40,…,,
Masjid,15:17,,15:21,15:26,,…,15:33,…,15:37,…,15:43,…,,
CSMT,15:20,TNA,15:24,15:30,,15:35,15:36,15:41,15:41,15:45,15:47,15:49,,TNA
Train No,95128,97080,97082,95322,97380,97084,95008,97230,97382,95222,97622,96640,95324,97384
Train Code,S 34,K 72 X,K 74,A 46,T 90 X,K 76,KP 8,DL 30,PT 4 X,BL 40,C 22 X,TL 42,A 48,T 92
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,,,,,,,,,14:44,,
Ambivli,,,,,,,,,,,,14:52,,
Shahad,,,,,,,,,,,,14:55,,
Khopoli,,,,,,,13:48,,,,,,,
Lowjee,,,,,,,13:52,,,,,,,
Dolavli,,,,,,,13:56,,,,,,,
Kelavli,,,,,,,13:59,,,,,,,
Palasdhari,,,,,,,14:06,,,,,,,
Karjat,13:55,,,,,,14:14,,,,,,,
Bhivpuri Road,14:04,,,,,,14:23,,,,,,,
Neral,14:11,,,,,,14:30,,,,,,,
Shelu,14:15,,,,,,14:34,,,,,,,
Vangani,14:19,,,,,,14:38,,,,,,,
Badlapur,14:27,,,,,,14:46,,,14:57,,,,
Ambernath,14:34,,,14:45,,,14:53,,,15:05,,,15:12,
Ulhas Nagar,14:38,,,14:50,,,14:57,,,15:09,,,15:17,
Vithalwadi,14:41,,,14:53,,,15:00,,,15:12,,,15:20,
Kalyan,14:47,14:25,14:33,14:58,,14:41,15:06,,,15:17,,15:00,15:25,
Thakurli,,14:32,14:39,,,14:47,,,,…,,15:05,…,
Dombivli,14:54,14:35,14:42,15:05,,14:50,15:12,14:56,,15:23,,15:08,15:31,
Kopar,…,14:38,14:45,…,,14:53,…,14:59,,…,,15:11,…,
Diva,…,14:43,14:50,…,,14:58,…,15:04,,…,,15:16,…,
Mumbra,…,14:47,14:54,…,,15:02,…,15:08,,…,,15:20,…,
Kalva,…,14:53,15:00,…,,15:08,…,15:14,,…,,15:26,…,
Thane,15:11,14:58,15:05,15:22,15:08,15:13,15:27,15:19,15:23,15:38,,15:31,15:46,15:36
Mulund,...,15:03,15:10,15:26,15:14,15:18,...,15:24,15:28,15:42,,15:36,...,15:42
Nahur,...,15:06,15:13,...,15:17,15:21,...,15:27,15:31,...,,15:39,...,15:45
Bhandup,...,15:09,15:16,...,15:20,15:24,...,15:30,15:34,,,15:42,15:54,15:48
Kanjur Marg,...,15:12,15:19,...,15:23,15:27,...,15:33,15:37,...,,15:45,...,15:51
Vikhroli,...,15:15,15:22,...,15:26,15:30,...,15:36,15:40,...,,15:48,...,15:54
Ghatkopar,15:26,15:19,15:26,15:38,15:30,15:34,15:41,15:40,15:44,15:54,,15:52,16:02,15:58
Vidyavihar,...,15:22,15:29,...,15:33,15:37,...,15:43,15:47,...,,15:55,...,16:01
Kurla,15:30,15:25,15:32,15:42,15:36,15:40,15:45,15:46,15:50,15:58,15:54,15:58,16:06,16:04
Sion,...,15:29,15:36,...,15:40,15:44,...,15:50,15:54,...,15:58,16:02,...,16:08
Matunga,...,15:32,15:39,...,15:43,15:47,...,15:53,15:57,...,16:02,16:05,...,16:11
Dadar,15:38,15:36,15:43,15:50,15:47,15:51,15:53,15:57,16:01,16:06,16:05,16:09,16:14,16:15
Parel,…,15:39,15:46,…,15:50,15:54,…,16:00,16:04,…,16:08,16:12,…,16:18
Currey Road,…,15:42,15:49,…,15:53,15:57,…,16:03,PR,…,16:11,16:15,…,16:21
Chinchpokli,…,15:44,15:51,…,15:55,15:59,…,16:05,,…,16:13,16:17,…,16:23
Byculla,15:45,15:46,15:53,15:57,15:57,16:01,16:01,16:07,,16:12,16:15,16:19,16:20,16:25
Sandhurst Road,…,15:49,15:56,…,16:00,16:04,…,16:10,,…,16:18,16:22,…,16:28
Masjid,…,15:52,15:59,…,16:03,16:07,…,16:13,,…,16:21,16:25,…,16:31
CSMT,15:55,15:55,16:02,16:09,16:06,16:10,16:13,16:17,,16:23,16:24,16:29,16:31,16:34
Train No,97086,97088,97624,95506,97386,96642,95224,97232,95418,97090,97626,95326,97092,97388
Train Code,K 78,TK 12,C 24,AN 16,T 94 X,TL 44,BL 42,DL 32,N 22,K 80,C 26 X,A 50,K 82,T 96 X
Kasara,,,,,,,,,14:42,,,,,
Khardi,,,,,,,,,14:59,,,,,
Atgaon,,,,,,,,,15:09,,,,,
Asangaon,,,,15:02,,,,,15:18,,,,,
Vasind,,,,15:10,,,,,15:24,,,,,
Khadavli,,,,15:17,,,,,15:31,,,,,
Titwala,,,,15:24,,15:08,,,15:39,,,,,
Ambivli,,,,15:30,,15:16,,,15:46,,,,,
Shahad,,,,15:33,,15:19,,,15:49,,,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,
Badlapur,,,,,,,15:32,,,,,,,
Ambernath,,,,,,,15:40,,,,,15:50,,
Ulhas Nagar,,,,,,,15:44,,,,,15:55,,
Vithalwadi,,,,,,,15:47,,,,,15:58,,
Kalyan,15:10,15:14,,15:40,,15:24,15:52,,15:56,15:30,,16:03,15:37,
Thakurli,15:16,15:20,,,,15:29,,,,15:36,,,15:43,
Dombivli,15:19,15:23,,15:47,,15:32,15:58,15:35,16:03,15:39,,16:09,15:46,
Kopar,15:22,15:26,,…,,15:35,…,15:39,…,15:43,,…,15:49,
Diva,15:27,15:31,,…,,15:40,…,15:44,16:08,15:48,,…,15:54,
Mumbra,15:31,15:35,,…,,15:44,…,15:48,…,15:52,,…,15:58,
Kalva,15:37,15:41,,…,,15:50,…,15:54,…,15:58,,…,16:04,
Thane,15:42,15:46,,16:02,15:51,15:55,16:13,15:59,16:19,16:03,,16:24,16:09,16:12
Mulund,15:46,,,...,15:56,16:00,...,16:04,...,16:09,,16:28,16:15,16:18
Nahur,15:49,,,...,15:59,16:03,...,16:07,...,16:12,,...,16:18,16:21
Bhandup,15:52,,,...,16:02,16:06,16:21,16:10,16:27,16:15,,...,16:21,16:24
Kanjur Marg,15:55,,,...,16:05,16:09,...,16:13,...,16:18,,...,16:24,16:27
Vikhroli,15:58,,,...,16:08,16:12,...,16:16,...,16:21,,,16:27,16:30
Ghatkopar,16:02,,,16:18,16:12,16:16,16:29,16:20,16:36,16:25,,16:41,16:31,16:34
Vidyavihar,16:05,,,...,16:15,16:19,...,16:23,...,16:28,,...,16:35,16:38
Kurla,16:08,,16:12,16:22,16:18,16:22,16:33,16:26,16:40,16:31,16:34,16:45,16:38,16:41
Sion,16:12,,16:16,...,16:22,16:26,...,16:30,...,16:35,16:38,...,16:42,16:45
Matunga,16:15,,16:20,...,16:25,16:29,...,16:33,...,16:38,16:41,...,16:45,16:48
Dadar,16:19,,16:23,16:30,16:29,16:33,16:41,16:37,16:48,16:42,16:45,16:53,16:49,16:52
Parel,16:22,,16:26,…,16:32,16:36,…,16:40,…,16:46,16:49,…,16:53,16:56
Currey Road,16:25,,16:29,…,16:35,16:39,…,16:43,…,16:49,16:53,…,16:57,17:00
Chinchpokli,16:27,,16:31,…,16:37,16:41,…,16:45,…,16:51,16:55,…,16:59,17:02
Byculla,16:29,,16:33,16:36,16:39,16:43,16:47,16:47,16:54,16:53,16:57,16:59,17:01,17:04
Sandhurst Road,16:32,,16:36,…,16:42,16:46,…,16:50,…,16:56,17:00,…,17:04,17:08
Masjid,16:35,,16:39,…,16:45,16:49,…,16:53,…,16:59,17:03,…,17:07,17:11
CSMT,16:38,TNA,16:42,16:44,16:48,16:52,16:56,16:56,17:02,17:04,17:08,17:09,17:12,17:16
Train No,97094,96644,95608,96014,95130,97390,95508,97096,97392,97098,95734,95328,97394,97100
Train Code,PK 16,TL 46,TL 48,SKP 14,S 36,T 98,AN 18,TK 14,T 100,K 84 X,DK 12 15 C X,A 52,T 102 X,PK 18
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,15:43,,,,,,,
Vasind,,,,,,,15:51,,,,,,,
Khadavli,,,,,,,15:58,,,,,,,
Titwala,,15:35,15:58,,,,16:05,,,,,,,
Ambivli,,15:43,16:06,,,,16:11,,,,,,,
Shahad,,15:46,16:09,,,,16:14,,,,,,,
Khopoli,,,,14:55,,,,,,,,,,
Lowjee,,,,14:59,,,,,,,,,,
Dolavli,,,,15:03,,,,,,,,,,
Kelavli,,,,15:06,,,,,,,,,,
Palasdhari,,,,15:13,,,,,,,,,,
Karjat,,,,15:20,15:26,,,,,,,,,
Bhivpuri Road,,,,,15:35,,,,,,,,,
Neral,,,,,15:42,,,,,,,,,
Shelu,,,,,15:46,,,,,,,,,
Vangani,,,,,15:50,,,,,,,,,
Badlapur,,,,,15:58,,,,,,,,,
Ambernath,,,,,16:05,,,,,,,16:21,,
Ulhas Nagar,,,,,16:09,,,,,,,16:26,,
Vithalwadi,,,,,16:12,,,,,,,16:29,,
Kalyan,15:47,15:51,16:15,,16:18,,16:21,16:02,,16:10,16:28,16:34,,16:17
Thakurli,15:53,15:57,…,,,,…,16:08,,16:15,…,,,16:23
Dombivli,15:56,16:00,16:21,,16:24,,16:29,16:11,,16:18,16:36,16:40,,16:26
Kopar,15:59,16:03,…,,…,,…,16:14,,16:21,…,…,,16:29
Diva,16:04,16:08,…,,…,,…,16:19,,16:26,…,…,,16:34
Mumbra,16:08,16:12,…,,…,,…,16:23,,16:30,…,…,,16:38
Kalva,16:14,16:18,…,,…,,…,16:29,,16:36,…,…,,16:44
Thane,16:19,16:23,16:37,,16:40,16:30,16:45,16:34,16:35,16:41,16:52,16:55,16:43,16:49
Mulund,16:24,16:28,16:41,,16:44,16:36,16:49,,16:40,16:45,...,...,16:48,16:53
Nahur,16:27,16:31,...,,...,16:39,...,,16:43,16:48,...,...,16:51,16:56
Bhandup,16:30,16:34,...,,...,16:42,...,,16:46,16:51,...,17:03,16:54,16:59
Kanjur Marg,16:33,16:37,...,,...,16:45,...,,16:49,16:54,...,...,16:57,17:02
Vikhroli,16:36,16:40,...,,...,16:48,...,,16:52,16:57,,...,17:00,17:05
Ghatkopar,16:40,16:44,16:53,,16:56,16:52,17:01,,16:56,17:01,17:08,17:11,17:04,17:09
Vidyavihar,16:43,16:47,...,,...,16:55,...,,16:59,17:04,...,...,17:07,17:12
Kurla,16:46,16:50,16:57,,17:00,16:58,17:05,,17:02,17:07,17:12,17:15,17:10,17:15
Sion,16:50,16:54,...,,...,17:02,...,,17:06,17:11,...,...,17:14,17:19
Matunga,16:53,16:57,...,,...,17:05,...,,17:09,17:14,...,...,17:17,17:22
Dadar,16:57,17:01,17:05,,17:08,17:09,17:13,,17:13,17:17,17:20,17:23,17:20,17:26
Parel,17:00,17:04,…,,…,17:12,…,,17:16,17:20,,…,17:23,17:29
Currey Road,PR,17:07,…,,…,17:15,…,,17:19,17:23,,…,17:26,PR
Chinchpokli,,17:09,…,,…,17:17,…,,17:21,17:25,,…,17:28,
Byculla,,17:11,17:14,,17:17,17:19,17:20,,17:23,17:27,,17:29,17:30,
Sandhurst Road,,17:14,…,,…,17:22,…,,17:26,17:30,,…,17:33,
Masjid,,17:17,…,,…,17:25,…,,17:29,17:33,,…,17:36,
CSMT,,17:20,17:22,,17:26,17:28,17:30,TNA,17:32,17:37,,17:37,17:40,
Train No,95226,95736,97628,95420,97102,95132,97396,97234,97398,95330,95610,97400,95228,97104
Train Code,BL 44,K 88,C 28,N 24,K 86 X,S 38,T 104 X,DL 34 X,T 106 X,DA 2,TL 50 AC,T 108,BL 46,TK 16
Kasara,,,,15:35,,,,,,,,,,
Khardi,,,,15:52,,,,,,,,,,
Atgaon,,,,16:02,,,,,,,,,,
Asangaon,,,,16:12,,,,,,,,,,
Vasind,,,,16:18,,,,,,,,,,
Khadavli,,,,16:25,,,,,,,,,,
Titwala,,,,16:32,,,,,,,16:47,,,
Ambivli,,,,16:38,,,,,,,16:55,,,
Shahad,,,,16:41,,,,,,,16:58,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,,,,,,16:00,,,,,,,,
Bhivpuri Road,,,,,,16:09,,,,,,,,
Neral,,,,,,16:16,,,,,,,,
Shelu,,,,,,16:20,,,,,,,,
Vangani,,,,,,16:24,,,,,,,,
Badlapur,16:18,,,,,16:32,,,,,,,16:47,
Ambernath,16:26,,,,,16:39,,,,16:45,,,16:56,
Ulhas Nagar,16:30,,,,,16:43,,,,16:50,,,17:00,
Vithalwadi,16:33,,,,,16:46,,,,16:53,,,17:03,
Kalyan,16:38,16:42,,16:48,16:24,16:54,,,,16:58,17:03,,17:09,16:38
Thakurli,,,,,16:30,,,,,,,,,16:44
Dombivli,16:45,16:50,,16:55,16:33,17:00,,16:38,,17:04,17:09,,17:15,16:47
Kopar,…,…,,…,16:36,…,,16:42,,…,…,,…,16:51
Diva,…,…,,17:00,16:41,…,,16:47,,…,…,,…,16:56
Mumbra,…,…,,…,16:45,…,,16:51,,…,…,,…,17:00
Kalva,…,…,,…,16:51,…,,16:57,,…,…,,…,17:06
Thane,17:00,17:05,,17:10,16:56,17:15,16:59,17:02,17:06,17:19,17:24,17:10,17:30,17:11
Mulund,17:04,17:09,,...,17:01,17:19,17:05,17:08,17:11,...,...,17:16,…,
Nahur,...,...,,...,17:04,...,17:08,17:11,17:14,...,,17:19,...,
Bhandup,...,...,,...,17:07,...,17:11,17:14,17:17,17:25,...,17:22,...,
Kanjur Marg,...,...,,...,17:10,...,17:14,17:17,17:20,...,...,17:25,...,
Vikhroli,...,...,,...,17:13,...,17:17,17:20,17:23,...,...,17:28,,
Ghatkopar,17:15,17:20,,17:25,17:17,17:30,17:21,17:24,17:27,17:33,17:37,17:32,17:43,
Vidyavihar,…,...,,...,17:20,...,17:24,17:27,17:30,...,...,17:35,...,
Kurla,17:19,17:24,17:19,17:29,17:23,17:34,17:27,17:30,17:33,17:37,17:41,17:38,17:47,
Sion,...,...,17:23,...,17:27,...,17:31,17:34,17:37,...,...,17:42,...,
Matunga,...,...,17:26,...,17:30,...,17:34,17:37,17:40,...,...,17:45,...,
Dadar,17:27,17:32,17:29,17:37,17:33,17:42,17:37,17:40,17:43,17:45,17:49,17:48,17:55,
Parel,…,…,17:32,…,17:36,…,17:40,17:43,17:46,,…,17:51,…,
Currey Road,…,…,17:35,…,17:39,…,17:43,17:46,17:49,,…,17:54,…,
Chinchpokli,…,…,17:37,…,17:41,…,17:45,17:48,17:51,,…,17:56,…,
Byculla,17:33,17:38,17:39,17:43,17:43,17:48,17:47,17:50,17:53,,17:55,17:58,18:01,
Sandhurst Road,…,…,17:42,…,17:46,…,17:50,17:53,17:56,,…,18:01,…,
Masjid,…,…,17:45,…,17:49,…,17:53,17:56,17:59,,…,18:04,…,
CSMT,17:41,17:46,17:48,17:51,17:53,17:57,17:57,18:00,18:03,,18:06,18:08,18:10,TNA
Train No,97402,97236,95510,97404,95230,97406,97106,95612,97408,95738,97238,95422,97630,95232
Train Code,DT 4,DL 36 AC X,AN 20,T 110,BL 48,T 112,K 90,TL 52,DT 6 X,K 94 AC X,DL 38 X,N 26,C 30,BL 50
Kasara,,,,,,,,,,,,16:16,,
Khardi,,,,,,,,,,,,16:33,,
Atgaon,,,,,,,,,,,,16:43,,
Asangaon,,,16:36,,,,,,,,,16:54,,
Vasind,,,16:44,,,,,,,,,17:00,,
Khadavli,,,16:51,,,,,,,,,17:07,,
Titwala,,,16:58,,,,,17:07,,,,17:14,,
Ambivli,,,17:04,,,,,17:15,,,,17:20,,
Shahad,,,17:07,,,,,17:18,,,,17:23,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
