Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Kurla,08:00,08:04,08:11,08:08,08:15,08:11,08:15,08:19,08:19,08:23,08:25,08:23,08:30,08:27
Sion,08:04,08:08,...,08:12,...,08:15,08:19,...,08:23,...,...,08:27,...,08:31
Matunga,08:07,08:11,...,08:15,...,08:18,08:22,...,08:26,...,...,08:30,...,08:34
Dadar,08:11,08:15,08:19,08:19,08:23,08:22,08:26,08:27,08:30,08:31,08:34,08:34,08:38,08:38
Parel,08:14,08:18,…,08:22,…,08:25,08:29,…,08:33,…,,08:37,…,08:41
Currey Road,08:17,08:21,…,PR,…,08:28,08:32,…,08:36,…,,08:40,…,08:44
Chinchpokli,08:19,08:23,…,,…,08:30,08:34,…,08:38,…,,08:42,…,08:46
Byculla,08:21,08:25,08:25,,08:30,08:32,08:36,08:33,08:40,08:39,,08:44,08:44,08:48
Sandhurst Road,08:24,08:28,…,,…,08:35,08:39,…,08:43,…,,08:47,…,08:51
Masjid,08:27,08:31,…,,…,08:38,08:42,…,08:46,…,,08:50,…,08:54
CSMT,08:31,08:34,08:36,,08:40,08:41,08:45,08:47,08:49,08:50,,08:53,08:54,08:57
Train No,95108,95708,95906,97020,97206,95306,95502,95110,97332,96504,95404,97022,95804,97334
Train Code,S 14,K 20 X,T 36,K 18,DL 8 X,A 16,AN 6,S 16,T 34,AN 4,N 8,K 22,DL 10,T 38
Kasara,,,,,,,,,,,06:57,,,
Khardi,,,,,,,,,,,07:14,,,
Atgaon,,,,,,,,,,,07:24,,,
Asangaon,,,,,,,07:28,,,07:08,07:35,,,
Vasind,,,,,,,07:36,,,07:17,07:43,,,
Khadavli,,,,,,,07:43,,,07:24,07:50,,,
Titwala,,,,,,,07:50,,,07:31,07:57,,,
Ambivli,,,,,,,07:57,,,07:37,08:04,,,
Shahad,,,,,,,08:00,,,07:40,08:07,,,
Khopoli,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,
Karjat,07:00,,,,,,,07:19,,,,,,
Bhivpuri Road,07:09,,,,,,,07:28,,,,,,
Neral,07:16,,,,,,,07:35,,,,,,
Shelu,07:20,,,,,,,07:39,,,,,,
Vangani,07:24,,,,,,,07:43,,,,,,
Badlapur,07:33,,,,,,,07:51,,,,,,
Ambernath,07:40,,,,,07:51,,07:58,,,,,,
Ulhas Nagar,07:44,,,,,07:56,,08:02,,,,,,
Vithalwadi,07:47,,,,,07:59,,08:05,,,,,,
Kalyan,07:53,07:42,,07:34,,08:04,08:07,08:10,,07:47,08:14,07:50,,
Thakurli,…,07:48,,07:40,,…,…,…,,07:52,…,07:56,,
Dombivli,07:59,07:51,,07:43,07:47,08:10,08:13,08:16,,07:55,08:20,07:59,08:14,
Kopar,…,07:54,,07:46,07:51,…,…,…,,07:58,…,08:02,08:18,
Diva,…,07:59,,07:51,07:56,…,…,…,,08:03,,08:07,08:23,
Mumbra,…,08:03,,07:55,08:00,…,…,…,,08:07,…,08:11,08:27,
Kalva,…,08:09,,08:01,08:06,…,…,…,,08:13,…,08:17,08:33,
Thane,08:14,08:16,08:20,08:06,08:11,08:26,08:29,08:32,08:14,08:18,08:36,08:22,08:38,08:25
Mulund,08:18,08:22,08:26,08:11,08:16,...,08:33,...,08:19,08:23,08:40,08:27,...,08:30
Nahur,...,...,...,08:14,08:19,...,...,...,08:22,08:26,...,08:30,...,08:33
Bhandup,...,...,...,08:17,08:22,08:34,,08:40,08:25,08:29,,08:33,08:47,08:36
Kanjur Marg,...,...,...,08:20,08:25,...,...,...,08:28,08:32,...,08:36,...,08:39
Vikhroli,08:26,08:30,08:34,08:23,08:28,...,...,...,08:31,08:35,...,08:39,...,08:42
Ghatkopar,...,...,...,08:27,08:32,08:42,08:45,08:48,08:35,08:39,08:52,08:43,08:55,08:46
Vidyavihar,...,...,...,08:30,08:35,...,...,...,08:38,08:42,...,08:46,...,08:49
Kurla,08:34,08:38,08:42,08:33,08:38,08:46,08:49,08:52,08:41,08:45,08:56,08:49,08:59,08:52
Sion,...,...,...,08:37,08:42,...,...,...,08:45,08:49,...,08:53,...,08:56
Matunga,...,...,...,08:40,08:45,...,...,08:57,08:48,08:52,...,08:56,...,08:59
Dadar,08:42,08:46,08:50,08:44,08:49,08:54,08:57,09:00,08:52,08:55,09:04,09:00,09:07,09:03
Parel,…,…,…,08:47,08:52,…,…,…,08:55,08:58,…,09:03,…,09:06
Currey Road,…,…,…,08:50,08:55,…,…,…,08:58,09:01,…,09:06,…,09:09
Chinchpokli,…,…,…,08:53,08:58,…,…,…,09:01,09:04,…,09:09,…,09:12
Byculla,08:48,08:52,08:56,08:56,09:00,09:00,09:03,09:06,09:03,09:06,09:10,09:11,09:13,09:14
Sandhurst Road,…,…,…,08:59,09:03,…,…,…,09:06,09:09,…,09:14,…,09:17
Masjid,…,…,…,09:02,09:06,…,…,…,09:09,09:12,…,09:17,…,09:20
CSMT,08:58,09:01,09:05,09:05,09:09,09:09,09:12,09:15,09:12,09:15,09:18,09:20,09:21,09:23
Train No,96006,95308,97024,95710,96614,95204,97336,95712,95406,97026,97616,95310,97338,95908
Train Code,SKP 6,A 18,K 24 X,K 28,TL 16,BL 10,T 40 X,K 32 15 C X,N 10,K 26 L SPL X,C 16,A 20,T 42 X,T 46 AC X
Kasara,,,,,,,,,07:22,,,,,
Khardi,,,,,,,,,07:39,,,,,
Atgaon,,,,,,,,,07:49,,,,,
Asangaon,,,,,,,,,07:59,,,,,
Vasind,,,,,,,,,08:05,,,,,
Khadavli,,,,,,,,,08:12,,,,,
Titwala,,,,,07:45,,,,08:19,,,,,
Ambivli,,,,,07:53,,,,08:25,,,,,
Shahad,,,,,07:56,,,,08:28,,,,,
Khopoli,07:20,,,,,,,,,,,,,
Lowjee,07:24,,,,,,,,,,,,,
Dolavli,07:28,,,,,,,,,,,,,
Kelavli,07:31,,,,,,,,,,,,,
Palasdhari,07:38,,,,,,,,,,,,,
Karjat,07:45,,,,,,,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,
Badlapur,,,,,,08:10,,,,,,,,
Ambernath,,08:10,,,,08:18,,,,,,08:27,,
Ulhas Nagar,,08:15,,,,08:22,,,,,,08:32,,
Vithalwadi,,08:18,,,,08:25,,,,,,08:35,,
Kalyan,,08:23,07:57,08:14,08:01,08:30,,08:33,08:36,08:09,,08:40,,
Thakurli,,…,08:03,08:20,08:07,…,,,…,08:15,,…,,
Dombivli,,08:29,08:06,08:23,08:10,08:36,,08:39,08:42,08:18,,08:46,,
Kopar,,…,08:09,08:26,08:13,…,,…,…,08:21,,…,,
Diva,,…,08:14,08:31,08:18,…,,…,08:46,08:26,,…,,
Mumbra,,…,08:18,08:35,08:22,…,,…,…,08:30,,…,,
Kalva,,…,08:24,08:41,08:28,…,,…,…,08:36,,…,,
Thane,,08:44,08:29,08:47,08:33,08:51,08:36,08:54,08:58,08:41,,09:01,08:47,09:03
Mulund,,08:48,08:34,...,08:38,08:55,08:41,08:58,09:02,08:46,,...,08:53,09:09
Nahur,,...,08:37,...,08:41,...,08:44,...,...,08:49,,...,08:56,...
Bhandup,,...,08:40,08:56,08:44,...,08:47,...,...,08:52,,09:09,08:59,...
Kanjur Marg,,...,08:43,...,08:47,...,08:50,...,...,08:55,,...,09:02,...
Vikhroli,,08:56,08:46,...,08:50,09:03,08:53,...,09:10,08:58,,...,09:05,...
Ghatkopar,,...,08:50,09:04,08:54,09:07,08:57,09:11,...,09:02,,09:17,09:09,09:20
Vidyavihar,,...,08:53,...,08:57,...,09:00,...,...,09:05,,...,09:12,...
Kurla,,09:04,08:56,09:08,09:00,09:11,09:03,09:15,09:18,09:08,09:11,09:21,09:15,09:24
Sion,,...,09:00,...,09:04,...,09:07,...,...,09:12,09:15,...,09:19,...
Matunga,,...,09:03,...,09:07,...,09:10,...,...,09:15,09:18,...,09:22,...
Dadar,,09:12,09:07,09:16,09:11,09:19,09:14,09:23,09:26,09:19,09:22,09:29,09:26,09:32
Parel,,…,09:10,…,09:14,…,09:17,…,…,09:22,09:25,…,09:29,…
Currey Road,,…,09:13,…,09:17,…,09:20,…,…,09:25,09:28,…,09:32,…
Chinchpokli,,…,09:15,…,09:19,…,09:22,…,…,09:27,09:30,…,09:34,…
Byculla,,09:18,09:17,09:22,09:21,09:25,09:24,09:29,09:32,09:29,09:32,09:35,09:36,09:38
Sandhurst Road,,…,09:20,…,09:24,…,09:27,…,…,09:32,09:35,…,09:39,…
Masjid,,…,09:23,…,09:27,…,09:30,…,…,09:35,09:38,…,09:42,…
