,STATIONS UP TRAINS,Virar 90182 12 CAR,Borivali 94082 12 CAR,Borivali 94082 12 CAR.1,Virar 92028 15 CAR,Virar 92028 15 CAR.1,Virar 94012 12 CAR,Virar 94012 12 CAR.1,Virar 94012 12 CAR.2,Virar 94012 12 CAR.3,Virar 92030 15 CAR,Virar 92030 15 CAR.1,Virar 92032 15 CAR,Bhayandar 94084 12 CAR,Bhayandar 94084 12 CAR.1,Goregoan 94086 12 CAR,Virar 94088 12 CAR,Malad 94090 12 CAR,Borivali 94092 12 CAR,Vasai Road 92034 15 CAR,Virar 94094 12 CAR,Virar 94094 12 CAR.1,Borivali 90198 12 CAR,Borivali 90198 12 CAR.1
58,CHURCHGATE,09:15,09:15,09:18,09:18,09:22,09:22,09:22,09:00,09:00,09:25,09:25,09:03,09:03,09:06,09:28,,,,09:19,09:19,,,09:10
59,STATIONS UP TRAINS,GMN 90222 12 CAR,ADH 90224 12 CAR,ADH 90224 12 CAR,BVI 90226 12 CAR,BVI 90226 12 CAR,BVI 90226 12 CAR,BVI 90230 12 CAR,BVI 90230 12 CAR,VR* 92042 15 CAR,VR* 92042 15 CAR,VR 94016 12 CAR,VR 94016 12 CAR,ADH 90232 12 CAR,ADH 90232 12 CAR,BYR 90234 12 CAR,BVI 90236 12 CAR,BVI 90238 12 CAR,BA 90240 12 CAR,VR 90242 12 CAR,BSR 90244 12 CAR,BSR 90244 12 CAR,GMN 90246 12 CAR,GMN 90246 12 CAR
60,VIRAR,,,,NOT ON,NOT ON,NOT ON,,,07:55,07:55,07:59,07:59,,,,,,,08:07,,,,
61,Nalla Sopara,,,,SUN,SUN,SUN,,,08:01,08:01,08:05,08:05,,,,,,,08:13,,,,
62,VASAI ROAD,,,,ONLY,ONLY,ONLY,,,08:06,08:06,08:10,08:10,,,,,,,08:18,08:21,08:21,,
63,Naigaon,,,,,,,,,08:11,08:11,08:15,08:15,,,,,,,08:23,08:27,08:27,,
64,BHAYANDAR,,,,,,,,,08:17,08:17,08:21,08:21,,,08:25,,,,08:29,08:33,08:33,,
65,Mira Road,,,,,,,,,08:22,08:22,08:26,08:26,,,08:31,,,,08:34,08:38,08:38,,
66,Dahisar,,,,,,,,,08:27,08:27,08:30,08:30,,,08:35,,,,08:38,08:42,08:42,,
67,BORIVALI,,,,08:30,08:30,08:30,08:34,08:34,p,p,08:36,08:36,,,08:40,08:38,08:41,,08:44,08:46,08:46,,
