STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
STATIONS DN TRAINS,BVI 90239 12 CAR,BVI 90241 12 CAR,BVI 90241 12 CAR,VR 90243 12 CAR,VR 90243 12 CAR,VR 90245 12 CAR,VR 90245 12 CAR,GMN 90247 12 CAR,GMN 90247 12 CAR,NSP 92059 15 CAR,NSP 92059 15 CAR,NSP 92059 15 CAR,VR 92061 15 CAR,VR 92061 15 CAR,VR 92061 15 CAR,BVI 90249 12 CAR,BVI 90249 12 CAR,GMN 90251 12 CAR,GMN 90251 12 CAR,BVI 90253 12 CAR,BVI 90253 12 CAR,BSR 92063 15 CAR,BSR 92063 15 CAR,VR 92065 15 CAR,VR 92065 15 CAR,VR 92065 15 CAR,BVI 90255 12 CAR,BVI 90255 12 CAR,BVI 90255 12 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR,BVI 92067 15 CAR
CHURCHGATE,09:00,09:04,09:04,09:03,09:03,09:06,09:06,09:09,09:09,,,,,,,09:11,09:11,09:14,09:14,09:13,09:13,,,,,,09:19,09:19,09:19,09:19,09:19,09:19,09:19
Marine Lines,,09:07,09:07,,,,,,,,,,,,,09:14,09:14,09:17,09:17,,,,,,,,09:22,09:22,09:22,,,,
Charni Road,,09:09,09:09,,,,,,,,,,,,,09:16,09:16,09:19,09:19,,,,,,,,09:24,09:24,09:24,,,,
Grant Road,,09:12,09:12,,,,,,,,,,,,,09:19,09:19,09:22,09:22,,,,,,,,09:27,09:27,09:27,,,,
M'BAI CENTRAL (L),09:08,09:14,09:14,09:11,09:11,09:14,09:14,09:17,09:17,,,,,,,09:21,09:21,09:24,09:24,09:20,09:20,,,,,,09:29,09:29,09:29,09:27,09:27,09:27,09:27
Mahalakshmi,,09:17,09:17,,,,,,,,,,,,,09:24,09:24,09:27,09:27,,,,,,,,09:32,09:32,09:32,,,,
Lower Parel,,09:20,09:20,,,,,,,,,,,,,09:27,09:27,09:30,09:30,,,,,,,,09:35,09:35,09:35,,,,
Prabhadevi,,09:23,09:23,,,,,,,,,,,,,09:30,09:30,09:33,09:33,,,,,,,,09:38,09:38,09:38,,,,
DADAR,09:15,09:25,09:25,09:18,09:18,09:21,09:21,09:24,09:24,,,,,,,09:32,09:32,09:35,09:35,09:27,09:27,,,,,,09:40,09:40,09:40,09:34,09:34,09:34,09:34
Matunga Road,,09:27,09:27,,,,,,,,,,,,,09:34,09:34,09:37,09:37,,,,,,,,09:42,09:42,09:42,,,,
Mahim Jn.,,09:30,09:30,,,,,,,,,,,,,09:37,09:37,09:40,09:40,,,,,,,,09:45,09:45,09:45,,,,
BANDRA,09:20,09:34,09:34,09:23,09:23,09:26,09:26,09:29,09:29,,,,,,,09:41,09:41,09:44,09:44,09:32,09:32,,,,,,09:49,09:49,09:49,09:39,09:39,09:39,09:39
Khar Road,,09:37,09:37,,,,,,,,,,,,,09:44,09:44,09:47,09:47,,,,,,,,09:52,09:52,09:52,,,,
Santa Cruz,,09:40,09:40,,,,,,,,,,,,,09:47,09:47,09:50,09:50,,,,,,,,09:55,09:55,09:55,,,,
Vile Parle,,09:43,09:43,,,,,,,,,,,,,09:50,09:50,09:53,09:53,,,,,,,,09:58,09:58,09:58,,,,
ANDHERI,09:29,09:47,09:47,09:32,09:32,09:35,09:35,,,,,,,,,09:54,09:54,09:57,09:57,09:41,09:41,,,09:59,09:59,09:59,10:03,10:03,10:03,09:49,09:49,09:49,09:49
Jogeshwari,,09:50,09:50,,,,,,,,,,,,,09:57,09:57,10:01,10:01,,,,,10:04,10:04,10:04,10:06,10:06,10:06,,,,
Ram Mandir,,09:53,09:53,,,,,,,,,,,,,10:00,10:00,10:04,10:04,,,,,10:07,10:07,10:07,10:09,10:09,10:09,,,,
Goregaon,,09:55,09:55,,,,,09:45,09:45,,,,,,,10:02,10:02,10:07,10:07,,,,,10:09,10:09,10:09,10:11,10:11,10:11,,,,
Malad,,09:59,09:59,,,,,,,,,,,,,10:06,10:06,,,,,,,10:13,10:13,10:13,10:15,10:15,10:15,,,,
Kandivli,,10:02,10:02,,,,,,,,,,,,,10:09,10:09,,,,,,,10:16,10:16,10:16,10:18,10:18,10:18,,,,
BORIVALI,09:43,10:08,10:08,09:45,09:45,09:50,09:50,,,10:00,10:00,10:00,10:08,10:08,10:08,10:15,10:15,,,09:55,09:55,10:19,10:19,10:23,10:23,10:23,10:25,10:25,10:25,10:04,10:04,10:04,10:04
Dahisar,,,,09:49,09:49,09:54,09:54,NOT ON,NOT ON,10:05,10:05,10:05,10:13,10:13,10:13,NOT ON,NOT ON,,,,,10:23,10:23,10:27,10:27,10:27,,,,,,,
Mira Road,,,,09:54,09:54,09:59,09:59,SUN,SUN,10:10,10:10,10:10,10:18,10:18,10:18,SUN,SUN,,,,,10:28,10:28,10:32,10:32,10:32,,,,,,,
Bhayandar,,,,09:59,09:59,10:04,10:04,ONLY,ONLY,10:15,10:15,10:15,10:23,10:23,10:23,ONLY,ONLY,,,,,10:33,10:33,10:37,10:37,10:37,,,,,,,
Naigaon,,,,10:05,10:05,10:10,10:10,,,10:21,10:21,10:21,10:29,10:29,10:29,,,,,,,10:39,10:39,10:43,10:43,10:43,,,,,,,
Vasai Road,,,,10:10,10:10,10:15,10:15,,,10:26,10:26,10:26,10:34,10:34,10:34,,,,,,,10:44,10:44,10:48,10:48,10:48,,,,,,,
Nalla Sopara,,,,10:16,10:16,10:21,10:21,,,10:31,10:31,10:31,10:39,10:39,10:39,,,,,,,,,10:53,10:53,10:53,,,,,,,
VIRAR,,,,10:23,10:23,10:29,10:29,,,TO,TO,TO,10:47,10:47,10:47,,,,,,,,,11:01,11:01,11:01,,,,,,,
STATIONS DN TRAINS,GMN 90259 12 CAR,VR 94019 12 CAR,VR 94019 12 CAR,ADH 90263 12 CAR,ADH 90263 12 CAR,BVI 94021 12 CAR,BVI 94021 12 CAR,BVI 94021 12 CAR,BVI 90265 12 CAR,BVI 90265 12 CAR,BVI 90265 12 CAR,VR 90267 12 CAR,VR 90267 12 CAR,GMN 90269 12 CAR,GMN 90269 12 CAR,GMN 90269 12 CAR,BVI 90271 12 CAR,BVI 90271 12 CAR,BYR 90273 12 CAR,BYR 90273 12 CAR,VR 90275 12 CAR,VR 90275 12 CAR,VR 92069 15 CAR,VR 92069 15 CAR,VR 92069 15 CAR,BVI 90277 12 CAR,BVI 90277 12 CAR,BVI 90277 12 CAR,DRD 93013 12 CAR,DRD 93013 12 CAR,DRD 93013 12 CAR,ADH 90279 12 CAR,ADH 90279 12 CAR
CHURCHGATE,09:22,09:23,09:23,09:25,09:25,09:27,09:27,09:27,09:28,09:28,09:28,09:30,09:30,09:31,09:31,09:31,09:33,09:33,09:34,09:34,09:36,09:36,,,,09:38,09:38,09:38,,,,09:41,09:41
Marine Lines,09:25,09:26,09:26,09:28,09:28,,,,09:31,09:31,09:31,,,09:34,09:34,09:34,,,09:37,09:37,09:39,09:39,,,,09:41,09:41,09:41,,,,09:44,09:44
Charni Road,09:27,09:28,09:28,09:30,09:30,,,,09:33,09:33,09:33,,,09:36,09:36,09:36,,,09:39,09:39,09:41,09:41,,,,09:43,09:43,09:43,,,,09:46,09:46
Grant Road,09:30,09:31,09:31,09:33,09:33,,,,09:36,09:36,09:36,,,09:39,09:39,09:39,,,09:42,09:42,09:44,09:44,,,,09:46,09:46,09:46,,,,09:49,09:49
M'BAI CENTRAL (L),09:32,09:33,09:33,09:35,09:35,09:36,09:36,09:36,09:38,09:38,09:38,09:38,09:38,09:41,09:41,09:41,09:41,09:41,09:44,09:44,09:46,09:46,,,,09:48,09:48,09:48,,,,09:51,09:51
Mahalakshmi,09:35,Air,Air,09:38,09:38,Air,Air,Air,09:41,09:41,09:41,,,09:44,09:44,09:44,,,09:47,09:47,,,,,,09:51,09:51,09:51,,,,09:54,09:54
Lower Parel,09:38,Condition,Condition,09:41,09:41,Condition,Condition,Condition,09:44,09:44,09:44,,,09:47,09:47,09:47,,,09:50,09:50,,,,,,09:54,09:54,09:54,,,,09:57,09:57
Prabhadevi,09:41,,,09:44,09:44,,,,09:47,09:47,09:47,,,09:50,09:50,09:50,,,09:53,09:53,,,,,,09:57,09:57,09:57,,,,10:00,10:00
DADAR,09:43,09:40,09:40,09:46,09:46,09:43,09:43,09:43,09:49,09:49,09:49,09:45,09:45,09:52,09:52,09:52,09:48,09:48,09:55,09:55,09:53,09:53,09:55,09:55,09:55,09:59,09:59,09:59,,,,10:02,10:02
Matunga Road,09:45,,,09:48,09:48,,,,09:51,09:51,09:51,,,09:54,09:54,09:54,,,09:57,09:57,,,,,,10:01,10:01,10:01,,,,10:04,10:04
Mahim Jn.,09:48,,,09:51,09:51,,,,09:54,09:54,09:54,,,09:57,09:57,09:57,,,10:00,10:00,,,,,,10:04,10:04,10:04,,,,10:07,10:07
BANDRA,09:52,09:45,09:45,09:55,09:55,09:48,09:48,09:48,09:58,09:58,09:58,09:50,09:50,10:01,10:01,10:01,09:53,09:53,10:04,10:04,09:58,09:58,10:01,10:01,10:01,10:08,10:08,10:08,,,,10:11,10:11
Khar Road,09:55,,,09:58,09:58,,,,10:01,10:01,10:01,,,10:04,10:04,10:04,,,10:07,10:07,,,,,,10:11,10:11,10:11,,,,10:14,10:14
Santa Cruz,09:58,,,10:01,10:01,,,,10:03,10:03,10:03,,,10:06,10:06,10:06,,,10:09,10:09,,,,,,10:13,10:13,10:13,,,,10:16,10:16
Vile Parle,10:01,,,10:04,10:04,,,,10:06,10:06,10:06,,,10:09,10:09,10:09,,,10:12,10:12,,,,,,10:16,10:16,10:16,,,,10:19,10:19
ANDHERI,10:05,09:54,09:54,10:10,10:10,09:57,09:57,09:57,10:12,10:12,10:12,10:00,10:00,10:14,10:14,10:14,10:03,10:03,10:17,10:17,10:06,10:06,10:09,10:09,10:09,10:21,10:21,10:21,,,,10:25,10:25
Jogeshwari,10:08,,,,,,,,10:15,10:15,10:15,,,10:18,10:18,10:18,,,10:20,10:20,,,,,,10:24,10:24,10:24,,,,,
Ram Mandir,10:11,,,,,,,,10:18,10:18,10:18,,,10:21,10:21,10:21,,,10:23,10:23,,,,,,10:27,10:27,10:27,,,,,
Goregaon,10:15,,,,,,,,10:20,10:20,10:20,,,10:25,10:25,10:25,,,10:25,10:25,,,,,,10:29,10:29,10:29,,,,,
Malad,,,,,,,,,10:24,10:24,10:24,,,,,,,,10:29,10:29,,,,,,10:33,10:33,10:33,,,,,
Kandivli,,,,,,,,,10:27,10:27,10:27,,,,,,,,10:32,10:32,,,,,,10:36,10:36,10:36,,,,,
BORIVALI,,10:07,10:07,,,10:11,10:11,10:11,10:33,10:33,10:33,10:15,10:15,,,,10:17,10:17,10:38,10:38,10:21,10:21,10:24,10:24,10:24,10:42,10:42,10:42,10:26,10:26,10:26,,
Dahisar,NOT ON,10:11,10:11,,,,,,,,,10:19,10:19,,,,,,10:43,10:43,10:25,10:25,10:28,10:28,10:28,,,,,,,,
Mira Road,SUN &,10:16,10:16,,,,,,,,,10:24,10:24,,,,,,10:48,10:48,10:30,10:30,10:33,10:33,10:33,,,,,,,,
Bhayandar,HOLIDAY,10:21,10:21,,,,,,,,,10:29,10:29,,,,,,10:55,10:55,10:34,10:34,10:38,10:38,10:38,,,,10:41,10:41,10:41,,
Naigaon,,10:26,10:26,,,,,,,,,10:35,10:35,,,,,,,,10:40,10:40,10:44,10:44,10:44,,,,,,,,
Vasai Road,,10:31,10:31,,,,,,,,,10:40,10:40,,,,,,,,10:45,10:45,10:50,10:50,10:50,,,,10:53,10:53,10:53,,
Nalla Sopara,,10:36,10:36,,,,,,,,,10:46,10:46,,,,,,,,10:50,10:50,10:55,10:55,10:55,,,,,,,,
VIRAR,,10:43,10:43,,,,,,,,,10:52,10:52,,,,,,,,10:57,10:57,11:03,11:03,11:03,,,,,,,,
STATIONS DN TRAINS,NSP 92071 15 CAR,BVI 90281 12 CAR,BVI 90281 12 CAR,BVI 90283 12 CAR,BVI 90283 12 CAR,BVI 90285 12 CAR,BVI 90285 12 CAR,VR 90287 12 CAR,VR 90287 12 CAR,GMN 90289 12 CAR,GMN 90289 12 CAR,GMN 90289 12 CAR,BVI 90291 12 CAR,BVI 90291 12 CAR,BVI 90291 12 CAR,ADH 90293 12 CAR,ADH 90293 12 CAR,BVI 90295 12 CAR,BVI 90295 12 CAR,BVI 90297 12 CAR,BVI 90297 12 CAR,VR 92073 12 CAR,VR 92073 12 CAR,BVI 90299 12 CAR,BVI 90299 12 CAR,BVI 90299 12 CAR,DRD 93015 12 CAR,DRD 93015 12 CAR,DRD 93015 12 CAR,VR 92075 15 CAR,VR 92075 15 CAR,VR 92075 15 CAR,VR 92075 15 CAR
CHURCHGATE,,09:44,09:44,09:44,09:44,09:47,09:47,09:48,09:48,09:50,09:50,09:50,09:53,09:53,09:53,09:56,09:56,09:56,09:56,10:00,10:00,,,10:03,10:03,10:03,10:03,10:03,10:03,,,,
Marine Lines,,09:47,09:47,,,09:50,09:50,,,09:53,09:53,09:53,09:56,09:56,09:56,09:59,09:59,,,10:03,10:03,,,10:06,10:06,10:06,10:06,10:06,10:06,,,,
Charni Road,,09:49,09:49,,,09:52,09:52,,,09:55,09:55,09:55,09:58,09:58,09:58,10:01,10:01,,,10:05,10:05,,,10:08,10:08,10:08,10:08,10:08,10:08,,,,
Grant Road,,09:52,09:52,,,09:55,09:55,,,09:58,09:58,09:58,10:01,10:01,10:01,10:04,10:04,,,10:08,10:08,,,10:11,10:11,10:11,10:11,10:11,10:11,,,,
M'BAI CENTRAL (L),,09:54,09:54,09:52,09:52,09:57,09:57,09:56,09:56,10:00,10:00,10:00,10:03,10:03,10:03,10:06,10:06,10:04,10:04,10:10,10:10,,,10:13,10:13,10:13,10:13,10:13,10:13,,,,
Mahalakshmi,,09:57,09:57,,,10:00,10:00,,,10:03,10:03,10:03,10:06,10:06,10:06,10:09,10:09,,,10:13,10:13,,,10:16,10:16,10:16,,,,,,,
Lower Parel,,10:00,10:00,,,10:03,10:03,,,10:06,10:06,10:06,10:09,10:09,10:09,10:12,10:12,,,10:16,10:16,,,10:19,10:19,10:19,,,,,,,
Prabhadevi,,10:03,10:03,,,10:06,10:06,,,10:09,10:09,10:09,10:12,10:12,10:12,10:15,10:15,,,10:19,10:19,,,10:22,10:22,10:22,,,,,,,
DADAR,,10:05,10:05,09:59,09:59,10:09,10:09,10:03,10:03,10:12,10:12,10:12,10:15,10:15,10:15,10:18,10:18,10:11,10:11,10:21,10:21,10:13,10:13,10:24,10:24,10:24,10:20,10:20,10:20,,,,
Matunga Road,,10:07,10:07,,,10:11,10:11,,,10:14,10:14,10:14,10:17,10:17,10:17,10:20,10:20,,,10:23,10:23,,,10:26,10:26,10:26,,,,,,,
Mahim Jn.,,10:10,10:10,,,10:14,10:14,,,10:17,10:17,10:17,10:20,10:20,10:20,10:23,10:23,,,10:26,10:26,,,10:29,10:29,10:29,,,,,,,
BANDRA,,10:14,10:14,10:05,10:05,10:18,10:18,10:09,10:09,10:22,10:22,10:22,10:24,10:24,10:24,10:27,10:27,10:16,10:16,10:30,10:30,10:20,10:20,10:33,10:33,10:33,10:25,10:25,10:25,,,,
Khar Road,,10:17,10:17,,,10:21,10:21,,,10:26,10:26,10:26,10:27,10:27,10:27,10:30,10:30,,,10:33,10:33,,,10:36,10:36,10:36,,,,,,,
Santa Cruz,,10:20,10:20,,,10:24,10:24,,,10:28,10:28,10:28,10:29,10:29,10:29,10:33,10:33,,,10:36,10:36,,,10:39,10:39,10:39,,,,,,,
Vile Parle,,10:23,10:23,,,10:27,10:27,,,10:31,10:31,10:31,10:32,10:32,10:32,10:36,10:36,,,10:39,10:39,,,10:42,10:42,10:42,,,,,,,
ANDHERI,10:13,10:28,10:28,10:16,10:16,10:32,10:32,10:19,10:19,10:36,10:36,10:36,10:37,10:37,10:37,10:41,10:41,10:26,10:26,10:44,10:44,10:30,10:30,10:48,10:48,10:48,10:33,10:33,10:33,10:37,10:37,10:37,10:37
Jogeshwari,,10:31,10:31,,,10:35,10:35,,,10:40,10:40,10:40,10:40,10:40,10:40,,,,,10:47,10:47,,,10:52,10:52,10:52,,,,,,,
Ram Mandir,,10:34,10:34,,,10:38,10:38,,,10:43,10:43,10:43,10:43,10:43,10:43,,,,,10:50,10:50,,,10:55,10:55,10:55,,,,,,,
Goregaon,,10:36,10:36,,,10:40,10:40,,,10:47,10:47,10:47,10:45,10:45,10:45,,,,,10:52,10:52,,,10:57,10:57,10:57,,,,,,,
Malad,,10:40,10:40,,,10:44,10:44,,,,,,10:49,10:49,10:49,,,,,10:56,10:56,,,11:01,11:01,11:01,,,,,,,
Kandivli,,10:43,10:43,,,10:47,10:47,,,,,,10:52,10:52,10:52,,,,,10:59,10:59,,,11:04,11:04,11:04,,,,,,,
BORIVALI,10:27,10:49,10:49,10:31,10:31,10:53,10:53,10:33,10:33,,,,10:57,10:57,10:57,,,10:42,10:42,11:05,11:05,10:44,10:44,11:10,11:10,11:10,10:47,10:47,10:47,10:51,10:51,10:51,10:51
Dahisar,10:32,NOT ON,NOT ON,,,,,10:37,10:37,,,,,,,,,,,,,10:48,10:48,,,,,,,10:55,10:55,10:55,10:55
Mira Road,10:37,SUN,SUN,,,,,10:42,10:42,,,,,,,,,,,,,10:53,10:53,,,,,,,11:00,11:00,11:00,11:00
Bhayandar,10:42,ONLY,ONLY,,,,,10:47,10:47,,,,,,,,,,,,,10:58,10:58,,,,11:01,11:01,11:01,11:05,11:05,11:05,11:05
Naigaon,10:48,,,,,,,10:53,10:53,,,,,,,,,,,,,11:04,11:04,,,,,,,11:11,11:11,11:11,11:11
Vasai Road,10:54,,,,,,,10:58,10:58,,,,,,,,,,,,,11:09,11:09,,,,11:13,11:13,11:13,11:16,11:16,11:16,11:16
Nalla Sopara,11:00,,,,,,,11:04,11:04,,,,,,,,,,,,,11:14,11:14,,,,,,,11:21,11:21,11:21,11:21
VIRAR,,,,,,,,11:11,11:11,,,,,,,,,,,,,11:21,11:21,,,,11:25,11:25,11:25,11:28,11:28,11:28,11:28
STATIONS DN TRAINS,ADH 90301 12 CAR,BVI 90303 12 CAR,BVI 90303 12 CAR,VR 92077 15 CAR,VR 92077 15 CAR,BVI 90305 12 CAR,BVI 90305 12 CAR,MDD 90307 12 CAR,MDD 90307 12 CAR,VR 92079 15 CAR,VR 92079 15 CAR,VR 92079 15 CAR,GMN 90309 12 CAR,GMN 90309 12 CAR,GMN 90309 12 CAR,BVI 90311 12 CAR,BVI 90311 12 CAR,VR 90313 12 CAR,VR 90313 12 CAR,BVI 90315 12 CAR,BVI 90315 12 CAR,VR 92081 15 CAR,VR 92081 15 CAR,BVI 94023 12 CAR,BVI 94023 12 CAR,BVI 94023 12 CAR,BVI 90317 12 CAR,BVI 90317 12 CAR,BVI 90317 12 CAR,VR 90319 12 CAR,VR 90319 12 CAR,VR 90319 12 CAR,VR 90319 12 CAR
CHURCHGATE,10:06,10:08,10:08,,,10:10,10:10,10:11,10:11,,,,10:13,10:13,10:13,10:17,10:17,10:17,10:17,10:20,10:20,,,10:24,10:24,10:24,10:24,10:24,10:24,,,,
Marine Lines,10:09,,,,,10:13,10:13,,,,,,10:16,10:16,10:16,10:20,10:20,T,T,10:23,10:23,,,10:27,10:27,10:27,,,,,,,
Charni Road,10:11,,,,,10:15,10:15,,,,,,10:18,10:18,10:18,10:22,10:22,,,10:25,10:25,,,10:29,10:29,10:29,,,,,,,
Grant Road,10:14,,,,,10:18,10:18,,,,,,10:21,10:21,10:21,10:25,10:25,,,10:28,10:28,,,10:32,10:32,10:32,,,,,,,
M'BAI CENTRAL (L),10:16,10:16,10:16,,,10:20,10:20,10:19,10:19,,,,10:23,10:23,10:23,10:27,10:27,10:27,10:27,10:30,10:30,,,10:34,10:34,10:34,10:34,10:34,10:34,,,,
Mahalakshmi,10:19,,,,,10:23,10:23,,,,,,10:26,10:26,10:26,10:30,10:30,,,10:33,10:33,,,10:37,10:37,10:37,,,,,,,
Lower Parel,10:22,,,,,10:26,10:26,,,,,,10:29,10:29,10:29,10:33,10:33,,,10:36,10:36,,,10:40,10:40,10:40,,,,,,,
Prabhadevi,10:25,,,,,10:29,10:29,,,,,,10:32,10:32,10:32,10:36,10:36,,,10:39,10:39,,,10:43,10:43,10:43,,,,,,,
DADAR,10:27,10:23,10:23,,,10:31,10:31,10:26,10:26,,,,10:34,10:34,10:34,10:38,10:38,10:34,10:34,10:41,10:41,,,10:45,10:45,10:45,10:41,10:41,10:41,,,,
Matunga Road,10:29,,,,,10:33,10:33,,,,,,10:36,10:36,10:36,10:40,10:40,,,10:43,10:43,,,10:47,10:47,10:47,,,,,,,
Mahim Jn.,10:32,,,,,10:36,10:36,,,,,,10:39,10:39,10:39,10:43,10:43,,,10:46,10:46,,,10:50,10:50,10:50,,,,,,,
BANDRA,10:36,10:28,10:28,,,10:40,10:40,10:32,10:32,,,,10:43,10:43,10:43,10:47,10:47,10:40,10:40,10:50,10:50,,,10:54,10:54,10:54,10:47,10:47,10:47,,,,
Khar Road,10:39,,,,,10:43,10:43,,,,,,10:46,10:46,10:46,10:50,10:50,,,10:53,10:53,,,10:57,10:57,10:57,,,,,,,
Santa Cruz,10:42,,,,,10:45,10:45,,,,,,10:49,10:49,10:49,10:53,10:53,,,10:56,10:56,,,11:00,11:00,11:00,,,,,,,
Vile Parle,10:45,,,,,10:48,10:48,,,,,,10:52,10:52,10:52,10:56,10:56,,,10:59,10:59,,,11:03,11:03,11:03,,,,,,,
ANDHERI,10:50,10:41,10:41,,,10:54,10:54,10:44,10:44,10:48,10:48,10:48,10:56,10:56,10:56,11:00,11:00,10:51,10:51,11:03,11:03,11:05,11:05,11:09,11:09,11:09,10:56,10:56,10:56,,,,
Jogeshwari,,,,,,10:57,10:57,,,,,,10:59,10:59,10:59,11:03,11:03,,,11:06,11:06,11:09,11:09,11:12,11:12,11:12,,,,,,,
Ram Mandir,,,,,,11:00,11:00,,,,,,11:02,11:02,11:02,11:06,11:06,,,11:09,11:09,11:12,11:12,11:15,11:15,11:15,,,,,,,
Goregaon,,,,,,11:02,11:02,,,,,,11:05,11:05,11:05,11:08,11:08,,,11:11,11:11,11:14,11:14,11:17,11:17,11:17,,,,,,,
Malad,,,,,,11:06,11:06,10:54,10:54,,,,,,,11:12,11:12,,,11:15,11:15,11:18,11:18,11:21,11:21,11:21,,,,,,,
Kandivli,,,,,,11:09,11:09,,,,,,,,,11:15,11:15,,,11:18,11:18,11:21,11:21,11:24,11:24,11:24,,,,,,,
BORIVALI,,10:57,10:57,11:00,11:00,,,,,11:03,11:03,11:03,,,,11:22,11:22,11:06,11:06,11:25,11:25,11:27,11:27,11:31,11:31,11:31,11:12,11:12,11:12,11:17,11:17,11:17,11:17
Dahisar,NOT ON,,,11:04,11:04,,,,,,,,,,,,,11:11,11:11,,,11:30,11:30,ON SAT,ON SAT,ON SAT,,,,11:22,11:22,11:22,11:22
Mira Road,SUN,,,11:09,11:09,,,,,,,,,,,,,11:16,11:16,,,11:35,11:35,& SUN,& SUN,& SUN,,,,11:27,11:27,11:27,11:27
Bhayandar,ONLY,,,11:14,11:14,,,,,11:15,11:15,11:15,,,,,,11:21,11:21,,,11:40,11:40,NON AC,NON AC,NON AC,,,,11:32,11:32,11:32,11:32
Naigaon,,,,11:20,11:20,,,,,T,T,T,,,,,,11:27,11:27,,,11:46,11:46,,,,,,,11:38,11:38,11:38,11:38
Vasai Road,,,,11:25,11:25,,,,,11:26,11:26,11:26,,,,,,11:32,11:32,,,11:51,11:51,,,,,,,11:44,11:44,11:44,11:44
Nalla Sopara,,,,11:30,11:30,,,,,11:31,11:31,11:31,,,,,,11:38,11:38,,,11:56,11:56,Air,Air,Air,,,,11:49,11:49,11:49,11:49
VIRAR,,,,11:37,11:37,,,,,11:37,11:37,11:37,,,,,,11:44,11:44,,,12:02,12:02,Condition,Condition,Condition,,,,11:56,11:56,11:56,11:56
STATIONS DN TRAINS,BVI 90321 12 CAR,VR 90323 12 CAR,VR 90323 12 CAR,ADH 90325 12 CAR,ADH 90325 12 CAR,BVI 90327 12 CAR,BVI 90327 12 CAR,BVI 90329 12 CAR,BVI 90329 12 CAR,BYR 94025 12 CAR,BYR 94025 12 CAR,BYR 94025 12 CAR,BYR 94025 12 CAR,NSP 90333 12 CAR,NSP 90333 12 CAR,NSP 90333 12 CAR,VR 92083 15 CAR,VR 92083 15 CAR,BCL 90337 12 CAR,BCL 90337 12 CAR,MDD 90339 12 CAR,MDD 90339 12 CAR,BVI 90341 12 CAR,BVI 90341 12 CAR,BVI 90341 12 CAR,ADH 90343 12 CAR,ADH 90343 12 CAR,ADH 90343 12 CAR,VR 90345 12 CAR,VR 90345 12 CAR,VR 90345 12 CAR,DRD 93017 12 CAR,DRD 93017 12 CAR
CHURCHGATE,10:27,10:29,10:29,10:30,10:30,10:32,10:32,10:33,10:33,10:36,10:36,10:36,10:36,10:36,10:36,10:36,,,10:39,10:39,10:42,10:42,10:42,10:42,10:42,10:45,10:45,10:45,10:45,10:45,10:45,,
Marine Lines,10:30,,,10:33,10:33,,,10:36,10:36,,,,,10:39,10:39,10:39,,,10:42,10:42,10:45,10:45,10:45,10:45,10:45,10:48,10:48,10:48,,,,,
Charni Road,10:32,,,10:35,10:35,,,10:38,10:38,,,,,10:41,10:41,10:41,,,10:44,10:44,10:47,10:47,10:47,10:47,10:47,10:50,10:50,10:50,,,,,
Grant Road,10:35,,,10:38,10:38,,,10:41,10:41,,,,,10:44,10:44,10:44,,,10:47,10:47,10:50,10:50,10:50,10:50,10:50,10:53,10:53,10:53,,,,,
M'BAI CENTRAL (L),10:37,10:39,10:39,10:40,10:40,10:42,10:42,10:43,10:43,10:46,10:46,10:46,10:46,10:46,10:46,10:46,,,10:49,10:49,10:52,10:52,10:52,10:52,10:52,10:55,10:55,10:55,10:55,10:55,10:55,,
Mahalakshmi,10:40,,,10:43,10:43,,,10:46,10:46,Air,Air,Air,Air,10:49,10:49,10:49,NOT ON,NOT ON,,,,,10:55,10:55,10:55,10:58,10:58,10:58,,,,,
Lower Parel,10:43,,,10:46,10:46,,,10:49,10:49,Condition,Condition,Condition,Condition,10:52,10:52,10:52,SUN,SUN,,,,,10:58,10:58,10:58,11:01,11:01,11:01,,,,,
Prabhadevi,10:46,,,10:49,10:49,,,10:52,10:52,,,,,10:55,10:55,10:55,ONLY,ONLY,,,,,11:01,11:01,11:01,11:04,11:04,11:04,,,,,
DADAR,10:48,10:46,10:46,10:51,10:51,10:49,10:49,10:54,10:54,10:53,10:53,10:53,10:53,10:57,10:57,10:57,10:55,10:55,,,10:59,10:59,11:03,11:03,11:03,11:06,11:06,11:06,11:02,11:02,11:02,,
Matunga Road,10:50,,,10:53,10:53,,,10:56,10:56,,,,,10:59,10:59,10:59,,,,,,,11:05,11:05,11:05,11:08,11:08,11:08,,,,,
