STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
Kandivli,,07:15,07:15,,,,,07:19,07:19,,,,07:22,07:22,07:22,07:25,07:25,07:30,07:30,07:35,07:35,,,,,,07:42,07:42,07:42,,,,
BORIVALI,06:57,07:22,07:22,07:05,07:05,07:15,07:15,07:25,07:25,07:18,07:18,07:18,07:30,07:30,07:30,07:33,07:33,07:37,07:37,07:41,07:41,07:21,07:21,,,,07:47,07:47,07:47,07:31,07:31,07:31,
Dahisar,07:01,,,,,,,07:31,07:31,,,,,,,,,,,,,07:26,07:26,,,,07:51,07:51,07:51,,,,
Mira Road,07:06,,,,,,,07:36,07:36,,,,,,,,,,,Air,Air,07:31,07:31,,,,07:56,07:56,07:56,,,,
Bhayandar,07:11,,,07:13,07:13,07:24,07:24,07:41,07:41,07:28,07:28,07:28,,,,,,,,Condition,Condition,07:36,07:36,,,,08:01,08:01,08:01,,,,
Naigaon,07:17,,,,,,,07:47,07:47,,,,,,,,,,,,,07:42,07:42,,,,08:06,08:06,08:06,,,,
Vasai Road,07:22,,,07:21,07:21,07:34,07:34,07:52,07:52,07:37,07:37,07:37,,,,,,,,ON SAT,ON SAT,07:47,07:47,,,,08:11,08:11,08:11,,,,
Nalla Sopara,07:27,,,,,,,07:58,07:58,,,,,,,,,,,& SUN,& SUN,07:52,07:52,,,,08:16,08:16,08:16,,,,
VIRAR,07:38,,,07:32,07:32,07:44,07:44,08:07,08:07,07:49,07:49,07:49,,,,,,,,NON AC,NON AC,08:00,08:00,,,,08:23,08:23,08:23,,,,
STATIONS DN TRAINS,BVI 90111 12 CAR,VR 90113 12 CAR,VR 90113 12 CAR,GMN 90115 12 CAR,GMN 90115 12 CAR,BSR 90117 12 CAR,BSR 90117 12 CAR,BVI 90119 12 CAR,BVI 90119 12 CAR,VR 92029 15 CAR,VR 92029 15 CAR,VR 92029 15 CAR,VR 92031 15 CAR,VR 92031 15 CAR,VR 92031 15 CAR,VR 92033 15 CAR,VR 92033 15 CAR,VR 90121 12 CAR,VR 90121 12 CAR,VR 90123 12 CAR,VR 90123 12 CAR,BVI 90125 12 CAR,BVI 90125 12 CAR,VR 90127 12 CAR,VR 90127 12 CAR,VR 90127 12 CAR,BVI 90129 12 CAR,BVI 90129 12 CAR,BVI 90129 12 CAR,GMN 90131 12 CAR,GMN 90131 12 CAR,GMN 90131 12 CAR,GMN 90131 12 CAR
