DN HBR TRAINS,DN HBR TRAINS.1,DN HBR TRAINS.2,DN HBR TRAINS.3,DN HBR TRAINS.4,DN HBR TRAINS.5,DN HBR TRAINS.6,DN HBR TRAINS.7,DN HBR TRAINS.8,DN HBR TRAINS.9,DN HBR TRAINS.10,DN HBR TRAINS.11,DN HBR TRAINS.12,DN HBR TRAINS.13,DN HBR TRAINS.14,DN HBR TRAINS.15,DN HBR TRAINS.16,DN HBR TRAINS.17
Train No.,98909 PLGN 9,98859 B 59,98759 GN 59,98911 PLGN 11,98861 B 61,98761 GN 61,98913 PLGN 13,98863 B 63,98763 GN 63,98865 B 65,98765 GN 65,98910 GNPL 10,98767 GN 67,98915 PLGN 15,98867 B 67,98912 GNPL 12,98769 GN 69
Stations,,,X,,,,,,,,,,,,,,
MUMBAI CSMT,,17:29,17:37,,17:50,18:05,,18:22,18:37,18:45,18:53,,19:09,,19:24,,19:40
MASJID,PNVL,17:32,17:40,PNVL,17:53,18:08,PNVL,18:25,18:40,18:48,18:56,GMN,19:12,PNVL,19:27,GMN,19:43
SANDHURST ROAD,16:34,17:35,17:43,17:01,17:56,18:11,17:29,18:28,18:43,18:51,18:59,18:27,19:15,18:33,19:30,18:55,19:46
DOCK YARD ROAD,VDLR,17:37,17:45,VDLR,17:58,18:13,VDLR,18:30,18:45,18:53,19:01,VDLR,19:17,VDLR,19:32,VDLR,19:48
REAY ROAD,17:36,17:39,17:47,18:02,18:00,18:15,18:32,18:32,18:47,18:55,19:03,19:06,19:19,19:35,19:34,19:38,19:50
COTTON GREEN,,17:41,17:49,,18:02,18:17,,18:34,18:49,18:57,19:05,,19:21,,19:36,,19:52
SEWERI,,17:44,17:52,,18:05,18:20,,18:37,18:52,19:00,19:08,,19:24,,19:39,,19:55
VADALA ROAD,17:41,17:47,17:55,18:06,18:09,18:23,18:37,18:41,18:55,19:03,19:11,19:11,19:27,19:39,19:43,19:43,19:58
KING'S CIRCLE,17:47,17:51,18:00,18:12,18:15,18:28,18:42,18:46,19:00,19:07,19:16,,19:32,19:44,19:47,,20:03
MAHIM JN.,17:49,17:53,18:02,18:14,18:17,18:30,18:44,18:48,19:02,19:09,19:18,,19:34,19:46,19:49,,20:05
BANDRA,17:53,17:58,18:05,18:18,18:22,18:34,18:48,18:53,19:06,19:14,19:22,,19:38,19:50,19:54,,20:09
KHAR,17:57,,18:10,18:23,,18:39,18:52,,19:11,,19:27,,19:43,19:55,,,20:14
SANTACURTZ,18:00,,18:13,18:26,,18:42,18:55,,19:14,,19:30,,19:46,19:58,,,20:17
VILEPARLE,18:03,,18:16,18:29,,18:45,18:58,,19:17,,19:33,,19:49,20:01,,,20:20
ANDHERI,18:07,,18:20,18:33,,18:49,19:02,,19:21,,19:37,,19:53,20:05,,,20:24
